index,entity,frequency
92,Argentina,18814
1068,La Argentina,11010
1440,Neuquén,8416
241,Buenos Aires,8345
719,Estados Unidos,7367
545,Córdoba,6875
183,Bariloche,6345
232,Brasil,5872
680,España,4665
1806,Río Negro,4477
1663,Provincia De Buenos Aires,4142
1017,Israel,3553
394,Chile,3364
1279,Mendoza,3305
1423,México,3240
862,Gobierno Nacional,3233
1093,La Libertad Avanza,3167
730,Europa,2936
396,China,2925
64,América,2854
424,Ciudad De Buenos Aires,2764
2134,Viedma,2446
321,Casa Rosada,2441
2104,Vaca Muerta,2425
2089,Uruguay,2394
969,Indec,2363
1004,Irán,2259
2071,Ucrania,2249
1882,Santa Fe,2233
1661,Provincia,2119
405,Chubut,2103
1789,Rusia,2098
798,Gabinete,2068
1372,Misiones,2024
1778,Rosario,2015
784,Francia,1977
1018,Italia,1966
2023,Tierra Del Fuego,1938
661,En Estados Unidos,1899
420,Ciudad,1888
1091,La Ley,1873
2121,Venezuela,1837
1243,Mar Del Plata,1836
1574,Patagonia,1818
443,Colombia,1738
1477,Nueva York,1657
351,Centro,1636
2092,Ushuaia,1613
1542,Paraguay,1538
1099,La Pampa,1524
1821,Salta,1492
816,Gaza,1431
793,Fuente,1416
1803,Río Grande,1364
2063,Tucumán,1353
1298,Miami,1345
16,Adorni,1333
497,Corrientes,1301
1218,Madrid,1239
46,Alemania,1236
220,Bolivia,1236
1592,Perú,1230
1104,La Plata,1222
272,Canadá,1220
2184,Washington,1209
1409,Municipio,1200
1190,Los Estados Unidos,1193
97,Aries,1177
1037,Jujuy,1157
252,Caba,1156
1172,Lla,1150
1998,Tauro,1142
603,Ecuador,1124
1857,San Martín De Los Andes,1102
1094,La Luna,1100
1070,La Bombonera,1076
2035,Tolhuin,1069
181,Barcelona,1060
1565,París,1042
1675,Provincia De Neuquén,995
1533,Palermo,976
1116,La Tierra,976
1184,Londres,972
1853,San Lorenzo,962
1108,La Rioja,949
1146,Latinoamérica,948
1134,Lam,940
1946,Sigamos,940
1880,Santa Cruz,937
667,Entre Ríos,928
381,Chaco,911
1644,Posadas,890
775,Formosa,873
774,Florida,872
1716,Qatar,870
1856,San Martín,848
1851,San Juan,838
712,Estado Nacional,837
1024,Japón,831
2151,Villa La Angostura,825
1890,Santiago Del Estero,803
1676,Provincia De Río Negro,784
1136,Lanús,784
1743,Reino Unido,766
980,Inglaterra,764
1777,Roma,753
1854,San Luis,751
609,Ee.Uu.,750
413,Cipolletti,749
128,Australia,732
1747,República Argentina,729
498,Corte Suprema,727
156,Bahía Blanca,713
615,El Bolsón,706
849,Gobierno De Javier Milei,700
422,Ciudad De,694
738,Ezeiza,693
2024,Tigre,688
787,Franja De Gaza,680
14,Acá,671
421,Ciudad Autónoma De Buenos Aires,669
330,Catamarca,656
260,California,651
2206,Zapala,645
1666,Provincia De Córdoba,643
1398,Municipalidad,632
1393,Moscú,618
354,Centro Cívico,616
1971,Sudamérica,614
167,Banco Central,613
512,Covid-19,612
2101,Uxp,603
150,Añelo,595
1837,San Carlos De Bariloche,594
1800,Río De Janeiro,585
906,Géminis,568
1626,Plottier,565
626,El Cordillerano,558
312,Casa Blanca,551
1231,Malvinas,548
1628,Poder Judicial,538
1685,Provincia Del Neuquén,526
926,Hollywood,519
1095,La Matanza,511
347,Centenario,508
81,Antártida,501
1199,Los Ángeles,501
726,Estrecho De Ormuz,495
651,Eldorado,488
521,Cuba,484
291,Capital,483
1386,Monumental,476
2225,Área Metropolitana De Buenos Aires,473
1282,Mercado Libre,469
1215,Líbano,468
1799,Río Cuarto,463
1016,Islas Malvinas,463
1383,Montevideo,463
292,Capital Federal,462
643,El Salvador,449
293,Capital Humano,446
313,Casa De Gobierno,443
1291,Meta,440
1972,Sudáfrica,438
2019,Texas,436
970,India,430
2181,Wall Street,427
1974,Suiza,422
1207,Luna,419
1283,Mercado Pago,417
1258,Marte,415
1642,Portugal,410
2068,Turquía,407
398,China Suárez,407
1580,Países Bajos,407
499,Corte Suprema De Justicia,404
1775,Roca,401
2082,Unidos,398
881,Gran Buenos Aires,397
606,Educación,393
610,Eeuu,392
1766,Rincón De Los Sauces,390
111,Asia,390
1527,Palacio De Hacienda,388
2014,Tesoro,385
826,General Roca,379
1884,Santa Rosa,376
1391,Morón,368
59,Alto Valle,365
1616,Plaza De Mayo,363
672,Escorpio,360
1173,Llaryora,360
2223,África,353
2006,Teherán,352
1394,Movistar Arena,348
85,Arabia Saudita,347
1710,Punta Del Este,347
1478,Nueva Zelanda,347
2183,Wanda Nara,345
1181,Lomas De Zamora,341
1057,Kiev,339
555,De Colombia,336
404,Chos Malal,335
1287,Mercurio,335
1891,Santiago Del Moro,335
1235,Manchester City,335
2169,Virgo,331
1371,Mirá,331
482,Conurbano,326
2118,Vaticano,326
475,Congreso Nacional,324
1973,Suecia,320
973,Info,318
428,Ciudad De México,311
137,Avellaneda,309
1845,San Francisco,309
392,Chicago,306
1738,Recoleta,306
2122,Venus,305
1039,Junín De Los Andes,305
612,Egipto,303
1986,Taiwán,303
770,Florencia,302
276,Canal 9 Norte Misionero,302
67,Anb,301
1540,Panamá,301
13,Acuario,300
1164,Lima,296
500,Corte Suprema De Justicia De La Nación,295
1521,Pacífico,290
2107,Valencia,288
1469,Noticiasnet,286
1721,Quilmes,284
198,Belgrano,279
1138,Las Grutas,277
1498,Oeste,274
822,General,274
1888,Santiago,272
1490,Oberá,272
1758,Retiro,269
869,Godoy Cruz,269
820,Gendarmería Nacional,269
1863,San Pablo,268
1060,Kremlin,268
348,Central,268
2085,Unrn,265
1979,Sur,265
511,Covid,262
1925,Sena,257
580,Dina Huapi,257
188,Barracas Central,257
1486,Núñez,254
898,Guatemala,253
1606,Piscis,253
1950,Siria,251
825,General Pico,251
196,Beijing,250
507,Costa Rica,250
491,Corea Del Sur,249
457,Comodoro Rivadavia,248
1699,Puerto Madero,247
640,El Reino Unido,246
1957,Sol,246
476,Conicet,243
840,Gobernador,243
1564,Parques Nacionales,243
60,Aluminé,242
1823,Salud,241
1145,Las Vegas,240
17,Aduana,240
1038,Junín,238
20,Aeroparque,237
1681,Provincia De Santa Fe,234
299,Caracas,233
880,Gran Bretaña,231
1815,Sagitario,231
1988,Talleres,229
1847,San Isidro,229
1619,Plaza Huincul,227
1462,Norte,224
2002,Teatro Colón,223
1834,San Antonio Oeste,222
1993,Tandil,220
1366,Ministro Del Interior,220
1573,Patagones,219
250,Bélgica,218
844,Gobierno Argentino,214
1545,Paraná,214
300,Caribe,214
296,Capricornio,214
1109,La Rural,213
504,Costa Atlántica,212
943,Houston,211
932,Hospital Italiano,210
219,Bogotá,209
122,Atlántico,207
971,Indiana,206
803,Galicia,206
1171,Liverpool,205
1468,Noticias Argentinas,205
1601,Pilar,205
1737,Recién,204
419,City,204
581,Dinamarca,203
1493,Occidente,202
447,Colón,202
736,Expoagro,202
1560,Parque Nacional Nahuel Huapi,201
96,Argentinos,201
1407,Municipalidad De Ushuaia,201
1157,Leo,200
859,Gobierno De Río Negro,198
2150,Villa Gesell,196
699,Estadio Monumental,196
1139,Las Heras,195
460,Concejo,194
716,Estado.,194
544,Cáncer,193
1410,Municipio De Río Grande,191
461,Concejo Deliberante,191
890,Grecia,190
1931,Sevilla,188
1889,Santiago De Chile,187
369,Cerro Catedral,186
1020,Ituzaingó,186
1756,Resistencia,186
1028,Jefatura De Gabinete,185
389,Chelsea,179
1443,Neuquén.-,179
239,Bruselas,177
1729,Rafah,177
1674,Provincia De Misiones,176
1546,Parlamento,176
1779,Rosario Central,175
1604,Pinamar,174
