entity,frequency
Chile,34724
Santiago,6818
Valparaíso,4892
Estados Unidos,4884
Argentina,4879
Antofagasta,3917
Coquimbo,3767
La Araucanía,2973
Brasil,2870
La Serena,2824
Israel,2498
Biobío,2436
Región Metropolitana,2335
España,2287
Europa,2189
Temuco,2161
Perú,2091
México,2044
O’Higgins,2017
Concepción,1951
Viña Del Mar,1921
Rancagua,1901
Ñuble,1899
Centro,1875
Venezuela,1749
Corte Suprema,1674
China,1645
Valdivia,1610
Colombia,1594
Los Ríos,1586
Ucrania,1575
Calama,1570
Magallanes,1544
Latinoamérica,1543
América,1520
Región De Coquimbo,1486
Iquique,1478
La Moneda,1441
Rusia,1400
Francia,1391
Ovalle,1389
Bolivia,1304
Atacama,1292
Maule,1284
La Ley,1263
Región De Valparaíso,1246
Los Lagos,1208
Chillán,1192
Ecuador,1183
Coquimbo Unido,1179
En Estados Unidos,1093
Punta Arenas,1050
Alemania,1045
Tarapacá,1045
Irán,1036
Gobierno Regional,1036
Arica,1007
Gaza,976
Indap,975
Copiapó,970
Curicó,934
Obras Públicas,917
Madrid,904
Italia,886
Angol,871
Quilpué,861
Paraguay,848
Región Del Biobío,818
La Tierra,817
Canadá,808
Uruguay,790
Parinacota,787
Los Ángeles,768
Síguenos,760
Puerto Montt,745
Seremi De Salud,702
San Felipe,699
Barcelona,696
Puerto Varas,691
Región De Ñuble,688
Nueva York,686
Interior,683
Conaf,673
Deportes,665
Maipú,661
Buenos Aires,659
Congreso Nacional,644
París,631
Covid-19,617
Linares,617
Aysén,614
Talcahuano,609
Sudamérica,605
Región De Antofagasta,601
Ee.Uu.,601
Las Condes,599
Talca,599
Pucón,597
Concejo Municipal,597
Estadio Nacional,583
San Pedro De Atacama,579
Los Andes,576
Región,575
Región De O’Higgins,575
Franja De Gaza,570
Reino Unido,568
Recoleta,564
Quillota,554
Japón,551
Estadio Monumental,538
Washington,534
Huachipato,531
Australia,517
Villarrica,515
Canal 13,512
Mop,495
Bío Bío,485
Provincia De Neuquén,484
Eeuu,477
Región De La Araucanía,466
Inglaterra,465
Sernac,461
Cuba,459
Londres,454
La Luna,454
Municipio,447
Tocopilla,447
Providencia,446
Florida,437
Biobiochile,434
El Salvador,434
La Florida,434
Municipalidad,425
Región Del Maule,423
San Fernando,423
Malleco,422
Bomberos,416
Miami,414
Alto Hospicio,405
Región De Los Ríos,404
Osorno,393
Acá,392
Roma,387
Lima,378
Cañete,376
Villa Alemana,370
Tren De Aragua,368
El Mercurio,364
Monte Patria,362
África,361
Puente Alto,359
Moscú,357
Santa Cruz,355
Victoria,347
Estado De Chile,345
La Calera,342
Poder Judicial,342
California,332
Cesfam,330
Metropolitana,330
Región De Atacama,328
Asia,325
Ind,324
Monumental,320
Casa Blanca,319
San Antonio,318
Gore,316
Ñuñoa,315
Seremi De Las Culturas,313
Festival De Viña Del Mar,312
Medio Ambiente,309
Patagonia,308
Vivienda Y Urbanismo,306
Plaza De Armas,304
Collipulli,303
Suiza,297
Coyhaique,295
Suecia,293
Palestina,290
Sevilla,287
Seremi De Educación,286
Región De Los Lagos,283
Los Vilos,281
Estados,281
Aconcagua,278
Quinta Vergara,275
Hollywood,275
Mercado Financiero,275
Líbano,274
Meta,271
Portugal,270
Curicó Unido,266
Limache,263
Festival De Viña,262
Hermosilla,260
Taiwán,260
Lago Ranco,259
Minsal,252
Concón,251
Vicuña,251
Arauco,250
Santiago De Chile,247
Tongoy,247
Aries,247
Panguipulli,246
Vitacura,246
San Fabián De Alico,245
Mejillones,244
Paso Minas Ñuble,243
Las Ovejas,242
Provincia Del Neuquén,242
Minas-Ñuble,242
Chiloé,242
Neuquén Informa,242
Corea Del Sur,241
Puerto Natales,241
Colchagua,240
Paillaco,239
Salud,236
Valencia,235
Cauquenes,230
Illapel,229
Ministro De Agricultura,227
Estrecho De Ormuz,225
Taltal,224
Coltauco,222
Antártica Chilena,221
Leo,219
Seremi De Desarrollo Social Y Familia,218
Antártica,218
Quintero,217
Senapred,214
Países Bajos,213
Cámara Baja,211
Bélgica,209
Fndr,208
Estadio Santa Laura,207
Panamá,206
Manchester City,205
San Carlos,205
Kiev,202
Coronel,202
Macul,202
Caracas,199
Caldera,199
De Santiago,199
Costa Rica,196
Traiguén,194
Padre Las Casas,194
Palacio De La Moneda,194
De Colombia,193
Estación Central,192
India,192
Gran Concepción,190
Minvu,189
Turquía,188
Limarí,188
Macrozona Sur,188
Mendoza,188
Educación,187
Viña,183
Corea Del Norte,181
Egipto,179
Vallenar,178
Región De Magallanes,177
Bruselas,176
Seremi De Agricultura,175
Ciudad De México,175
Sao Paulo,174
Pacífico,173
Región De Tarapacá,172
Sudáfrica,170
Gobierno Del Presidente Gabriel Boric,170
La Higuera,170
Chillán Viejo,169
Siria,169
Tierra Amarilla,168
Seremi De Gobierno,168
Marte,166
Gobierno Regional De La Araucanía,166
Liverpool,166
Barranquilla,166
Panamericanos,164
Teatro Municipal,164
Estado.,163
Río De Janeiro,163
Pichilemu,163
Subdere,162
Ministro De Justicia,162
Seremi De La Mujer,161
Dideco,160
San Bernardo,160
Educación Superior,160
Parapanamericanos,159
Putaendo,158
Río Bueno,158
Superintendencia De Electricidad Y Combustibles,156
Municipalidad De Valparaíso,155
Las Vegas,154
Sala,153
Serviu,153
Sierra Gorda,152
La Pintana,151
Relaciones Exteriores,151
Bogotá,151
Graneros,150
Rengo,150
San Pedro De La Paz,150
Deporte,149
Marsella,148
Quito,148
Nueva Zelanda,147
Rapa Nui,146
Metro,146
Machalí,146
Transportes Y Telecomunicaciones,146
Gobierno De Chile,142
Qatar,141
Grecia,141
Guayaquil,140
Daem,140
Ercilla,138
