index,entity,frequency
1853,España,104413
3063,Madrid,50085
1949,Europa,23870
664,Barcelona,19604
4575,Sevilla,13365
1913,Estados Unidos,12057
1097,Cataluña,11781
3468,Málaga,10780
313,Andalucía,9750
4955,Ucrania,9095
1083,Castilla-La Mancha,8898
2591,Israel,8572
502,Ayuntamiento,8546
5021,Valencia,8404
2106,Francia,8229
4847,Toledo,7536
4327,Rusia,7000
237,Alicante,6969
2160,Galicia,6857
1349,Comunidad De Madrid,6048
219,Alemania,5885
1214,China,5534
2596,Italia,5422
3830,París,4785
1512,Córdoba,4482
829,Bruselas,4401
4233,Reino Unido,4291
3473,México,4180
1481,Cuenca,4106
426,Asturias,4093
2182,Gaza,4087
5248,Zaragoza,4066
972,Canarias,4018
3438,Murcia,3943
2187,Generalitat,3810
4034,Portugal,3796
1500,Cádiz,3773
2962,Londres,3631
354,Aragón,3613
3583,Nueva York,3581
1821,En Estados Unidos,3472
3171,Marruecos,3359
1697,Eeuu,3264
2827,La Tierra,3176
387,Argentina,3172
1352,Comunidad Valenciana,3129
2569,Irán,3076
2327,Granada,3052
2612,Japón,3047
1082,Castilla Y León,3043
1963,Extremadura,2998
3365,Moncloa,2963
259,Almería,2957
3513,Navarra,2954
635,Baleares,2780
2244,Gobierno De España,2755
2210,Girona,2732
1147,Centro,2709
4905,Tribunal Supremo,2695
1354,Comunitat Valenciana,2678
3238,Mercadona,2645
980,Cantabria,2644
808,Brasil,2638
3856,País Vasco,2621
5061,Venezuela,2615
1957,Euskadi,2606
3216,Mediterráneo,2524
4225,Región De Murcia,2521
2921,León,2515
3100,Mallorca,2506
2349,Guadalajara,2466
2432,Hollywood,2397
2771,La Luna,2347
461,Audiencia Nacional,2320
755,Bilbao,2313
4304,Roma,2311
179,Albacete,2283
2024,Ferraz,2233
4508,Santander,2184
5027,Valladolid,2093
5270,África,2085
2486,Huelva,2077
4736,Talavera,2018
1800,Elche,2008
3857,Países Bajos,1995
481,Australia,1976
4693,Suecia,1955
3772,Pamplona,1943
3418,Moscú,1935
201,Alcaraz,1898
2546,Inglaterra,1893
1842,Escorpio,1885
4694,Suiza,1881
958,Canadá,1865
308,América,1848
2622,Jaén,1825
3154,Marbella,1811
1212,Chile,1802
3703,Oviedo,1794
4731,Tailandia,1766
1076,Castellón,1755
2109,Franja De Gaza,1754
4717,Sánchez,1748
847,Burgos,1732
2815,La Rioja,1708
1269,Ciudad Real,1689
2767,La Ley,1689
4808,Tenerife,1671
2265,Gobierno De Pedro Sánchez,1630
3000,Los Reyes,1621
1030,Cartagena,1609
5179,Washington,1567
733,Berlín,1555
1450,Covid-19,1545
1096,Catalunya,1531
1319,Colombia,1529
857,Bélgica,1513
2338,Grecia,1482
2684,Kiev,1469
3005,Los Ángeles,1465
102,Aemet,1453
4757,Tarragona,1442
893,California,1442
2228,Gobierno Central,1438
350,Arabia Saudí,1437
5044,València,1432
1741,El Hormiguero,1426
3869,Península,1423
4008,Polonia,1416
547,Ayuntamiento De Madrid,1407
2239,Gobierno De Castilla-La Mancha,1385
4380,Salamanca,1347
2500,Ibiza,1345
1443,Costa Del Sol,1322
4932,Turquía,1320
1589,Dinamarca,1303
447,Atlántico,1302
1186,Ceuta,1301
5093,Vigo,1301
3260,Miami,1299
2383,Génova,1297
2958,Logroño,1296
722,Benidorm,1288
4019,Pontevedra,1285
1699,Egipto,1284
3883,Perú,1280
4360,Sagitario,1262
4566,Sepe,1259
1037,Casa Blanca,1236
4660,Soria,1233
4070,Provincia De Alicante,1229
2080,Florida,1221
3250,Meta,1214
4456,San Sebastián,1209
1540,De Valencia,1204
3036,Líbano,1203
3796,Parlamento,1187
418,Asia,1154
1486,Cultura,1133
2190,Generalitat Valenciana,1130
3211,Medio Ambiente,1116
3765,Palma,1111
2699,Kremlin,1108
4817,Teruel,1092
2198,Getafe,1087
413,Ascendente,1087
1476,Cuba,1078
3019,Lugo,1069
390,Aries,1068
3223,Melilla,1051
2790,La Moncloa,1033
1696,Ee.Uu.,1032
1679,Ecuador,1026
1685,Educación,1015
606,Badajoz,1008
2492,Hungría,1005
838,Buenos Aires,1003
3561,Noruega,999
3174,Marte,977
4760,Tauro,968
2204,Gijón,967
4353,Sabadell,966
2937,Lisboa,955
2488,Huesca,952
3622,Occidente,949
4224,Región,941
781,Bonoloto,925
2534,India,918
1763,El País,916
1499,Cáceres,913
1503,Cámara Baja,908
1449,Covid,907
4098,Provincia De Toledo,904
1693,Ee Uu,888
3023,Luna,886
573,Ayuntamiento De Toledo,882
5154,Vitoria,882
3236,Mercado De Valores,881
2565,Irlanda,873
3763,Palestina,862
3865,Pekín,860
2317,Gran Canaria,857
2157,Gales,850
3109,Manchester City,845
482,Austria,845
52,A Coruña,843
2887,Latinoamérica,842
4510,Santiago,827
3584,Nueva Zelanda,816
723,Benidorm Fest,806
4644,Sol,765
4078,Provincia De Cuenca,764
2069,Finlandia,759
5288,Ávila,758
3870,Península Ibérica,735
2882,Las Vegas,727
2587,Islas Canarias,727
4689,Sudáfrica,719
2411,Hemeroteca.,719
4091,Provincia De Málaga,718
5245,Zamora,712
86,Acuario,712
1431,Coruña,710
1050,Casa Real,709
3143,Mar Menor,707
3602,Níger,698
2522,Illescas,693
4825,Texas,692
3270,Milán,692
4062,Principado,684
2985,Los Estados Unidos,684
2902,Leo,679
1537,De Murcia,676
989,Capricornio,670
2382,Géminis,670
1409,Corea Del Sur,668
197,Alcalá De Henares,667
5151,Virgo,666
1774,El Reino Unido,665
2409,Hellín,661
450,Atocha,661
4679,Stellantis,656
2192,Georgia,646
5122,Villarreal,645
4733,Tajo,645
3913,Pirineos,644
1577,Descubre,643
4325,Rumanía,642
1505,Cáncer,640
4168,Qatar,636
4131,Puerta Del Sol,634
4247,República Dominicana,632
4621,Siria,631
3702,Ourense,629
3845,Paterna,629
2949,Lleida,628
4646,Solar,628
982,Cantábrico,627
386,Argelia,627
3760,Palencia,623
2108,Franja,622
2585,Islas Baleares,621
1881,Estado De Derecho,617
4193,Rafah,616
4552,Segovia,611
2862,Lanzarote,610
414,Ascendente Sagitario,608
4514,Santiago De Compostela,607
1673,Dénia,606
2927,Libra,602
316,Andorra,602
2934,Lima,597
2915,Levante,597
2984,Los Estados,592
1464,Croacia,591
931,Camp Nou,591
4322,Rueda,590
5276,Álava,589
2797,La Palma,580
3028,Luxemburgo,578
1074,Castelló,577
3146,Mar Rojo,573
2290,Gobierno Vasco,573
2077,Fitur,570
4732,Taiwán,559
3340,Mira,556
568,Ayuntamiento De Sevilla,555
1347,Comunidad Autónoma,555
