index,entity,frequency
1107,México,37982
1313,Puebla,12703
357,Ciudad De México,10422
605,Estados Unidos,9929
1752,Veracruz,9454
588,Estado De México,6179
739,Guanajuato,5102
929,León,4375
750,Guerrero,3896
334,Chihuahua,3665
282,Cdmx,3505
1162,Oaxaca,3358
14,Acapulco,3321
1191,Pachuca,2883
842,Jalisco,2842
561,España,2647
1784,Xalapa,2559
1542,Sinaloa,2553
547,En Estados Unidos,2485
827,Israel,2413
325,Chiapas,2367
85,América,2150
1156,Nuevo León,2089
759,Hidalgo,2031
241,Canadá,1968
340,China,1956
1606,Tamaulipas,1863
1341,Quintana Roo,1839
293,Centro,1793
284,Celaya,1766
112,Argentina,1754
616,Europa,1751
1152,Nueva York,1719
1280,Poder Judicial,1625
741,Guanajuato.-,1601
1687,Toluca,1595
1721,Ucrania,1564
1039,Michoacán,1536
592,Estado De Puebla,1535
737,Guadalajara,1521
1203,Palacio Nacional,1492
1072,Monterrey,1482
1378,Rusia,1452
45,Aguascalientes,1422
1571,Sonora,1273
1682,Tlaxcala,1232
819,Irapuato,1230
1655,Texas,1225
206,Brasil,1211
1797,Yucatán,1208
1339,Querétaro,1200
1602,Tabasco,1192
155,Baja California,1143
1078,Morelos,1121
375,Coahuila,1108
1312,Pue,1088
378,Coatzacoalcos,1077
362,Ciudad Juárez,1075
690,Gaza,1074
338,Chilpancingo,1057
1483,Scjn,1046
584,Estado De Hidalgo,1022
672,Francia,1017
1594,Suprema Corte De Justicia De La Nación,993
972,Madrid,992
1777,Washington,980
401,Conagua,970
660,Florida,967
388,Colombia,964
1747,Venezuela,954
1230,París,947
717,Gobierno Federal,920
1519,Sedena,894
239,Campeche,893
232,California,881
67,Alemania,855
336,Chile,854
514,Ecuador,849
515,Edomex,849
512,Durango,844
1799,Zacatecas,839
451,Cuba,837
846,Japón,832
646,Fge,829
1699,Tren Maya,822
821,Irán,821
955,Los Ángeles,810
949,Los Estados Unidos,806
249,Cancún,802
435,Covid-19,801
904,La Tierra,795
