country,city,lat,lon,mentions
Argentina,Neuquén,-38.8502546,-69.832275,8416
Argentina,Buenos Aires,-34.6095579,-58.3887904,8345
Argentina,Estados Unidos,-25.7195559,-62.652508,7367
Argentina,Córdoba,-31.4166867,-64.1834193,6875
Argentina,Bariloche,-41.1334781,-71.3101474,6345
Argentina,Brasil,-28.6680373,-49.3383467,5872
Argentina,España,-27.4439414,-59.0178715,4665
Argentina,Río Negro,-40.4811973,-67.6145911,4477
Argentina,Provincia De Buenos Aires,-36.3789925,-60.3855889,4142
Argentina,Israel,-31.5536915,-68.6158269,3553
Argentina,Chile,-33.0473517,-71.4731364,3364
Argentina,Mendoza,-34.5970325,-68.7304797,3305
Argentina,México,27.0854542,-109.1412408,3240
Argentina,Gobierno Nacional,-31.2467635,-59.7498679,3233
Argentina,La Libertad Avanza,-32.9218083,-60.8073897,3167
Argentina,Europa,-34.6560444,-58.5349753,2936
Argentina,China,-34.5788554,-58.4772206,2925
Argentina,América,-35.4891187,-62.9756868,2854
Argentina,Ciudad De Buenos Aires,-34.6095579,-58.3887904,2764
Argentina,Viedma,-40.8084274,-62.994722,2446
Argentina,Casa Rosada,-34.6080692,-58.3702762,2441
Argentina,Vaca Muerta,-27.2251995,-64.1614471,2425
Argentina,Uruguay,-34.604043,-58.3870845,2394
Argentina,Indec,-34.610219,-58.37523,2363
Argentina,Irán,-24.8340677,-65.3811253,2259
Argentina,Ucrania,-31.4076503,-64.1542518,2249
Argentina,Santa Fe,-30.3154739,-61.1645076,2233
Argentina,Provincia,-46.7959922,-67.9641808,2119
Argentina,Chubut,-43.7128356,-68.7461817,2103
Argentina,Rusia,-34.6063102,-58.4829826,2098
Argentina,Gabinete,-34.6285857,-58.4272769,2068
Argentina,Misiones,-26.737224,-54.4315257,2024
Argentina,Rosario,-32.9593609,-60.6617024,2015
Argentina,Francia,-33.2825351,-66.3408239,1977
Argentina,Italia,43.9593221,7.8201585,1966
Argentina,Tierra Del Fuego,-54.3815213,-67.5678997,1938
Argentina,Ciudad,-34.6095579,-58.3887904,1888
Argentina,La Ley,-31.418555,-64.1863938,1873
Argentina,Venezuela,-34.6152097,-58.404737,1837
Argentina,Mar Del Plata,-37.9976168,-57.5482079,1836
Argentina,Patagonia,-51.6538867,-69.2921939,1818
Argentina,Colombia,4.9037037,-75.5025961,1738
Argentina,Nueva York,-25.2483317,-62.769643,1657
Argentina,Centro,-31.5368544,-68.5218006,1636
Argentina,Ushuaia,-54.807306,-68.3084133,1613
Argentina,Paraguay,-34.58435,-58.4246382,1538
Argentina,La Pampa,-37.1789623,-65.704912,1524
Argentina,Salta,-25.2269908,-64.5911956,1492
Argentina,Gaza,-26.8139976,-65.3231471,1431
Argentina,Fuente,-34.6129157,-68.330491,1416
Argentina,Río Grande,-53.7858275,-67.7018562,1364
Argentina,Tucumán,-27.0448424,-65.3657954,1353
Argentina,Miami,-41.1484278,-71.267382,1345
Argentina,Corrientes,-29.0177384,-57.8869739,1301
Argentina,Madrid,-34.6340432,-58.5276583,1239
Argentina,Alemania,-34.5801199,-58.505129,1236
Argentina,Bolivia,-34.5767416,-58.505542,1236
Argentina,Perú,-34.6085776,-58.3745001,1230
Argentina,La Plata,-34.9206797,-57.9537638,1222
Argentina,Canadá,-31.5270494,-68.5364956,1220
