country,city,lat,lon,mentions
Chile,Chile,-33.4376995,-70.6510671,49647
Chile,Santiago,-33.4376995,-70.6510671,9255
Chile,Estados Unidos,-33.0332734,-71.4849602,8894
Chile,Argentina,-33.0473517,-71.4731364,7760
Chile,Valparaíso,-33.0458456,-71.6196749,6380
Chile,Coquimbo,-30.7546652,-70.9005536,5289
Chile,Antofagasta,-23.6463741,-70.3980033,5046
Chile,España,-53.1480496,-70.9038227,4812
Chile,La Araucanía,-40.9071314,-73.157326,4355
Chile,Brasil,-4.8828067,-38.4541111,4333
Chile,La Serena,-29.902705,-71.2519575,4030
Chile,México,25.735557,-100.2345427,3687
Chile,Europa,-34.1585204,-70.7079283,3653
Chile,Biobío,-37.3391407,-72.4106825,3527
Chile,Región Metropolitana,-33.5739341,-70.6205518,3331
Chile,Israel,-33.0525929,-71.6306813,3288
Chile,Irán,-33.4805212,-70.5870403,3233
Chile,Perú,-13.5514799,-70.8915621,2979
Chile,Temuco,-38.7358908,-72.590538,2923
Chile,O’Higgins,-48.4730258,-72.8238709,2853
Chile,Francia,-33.0438726,-71.6129921,2820
Chile,Ñuble,-36.6331577,-71.9384821,2808
Chile,Concepción,-36.8270698,-73.0502064,2667
Chile,Centro,1.2027023,-77.2690283,2630
Chile,Región De Coquimbo,-30.7546652,-70.9005536,2620
Chile,Venezuela,7.3086069,-61.8485138,2600
Chile,China,-33.026189,-71.4779637,2489
Chile,Colombia,1.2027023,-77.2690283,2483
Chile,Viña Del Mar,-33.0244535,-71.5517636,2460
Chile,Valdivia,-39.8141262,-73.2459859,2421
Chile,Atacama,-24.5563029,-69.4226479,2366
Chile,Rancagua,-34.1702433,-70.740718,2361
Chile,Los Ríos,-39.9742747,-72.6677006,2230
Chile,Punta Arenas,-53.1625688,-70.907822,2212
Chile,Maule,-35.5972284,-71.48868,2186
Chile,Corte Suprema,-33.4390491,-70.6531176,2135
Chile,América,-38.9777352,-72.6430312,2081
Chile,La Moneda,-33.442821,-70.6542125,2066
Chile,Ucrania,-33.490349,-70.7303066,1996
Chile,Iquique,-20.2140657,-70.1524646,1995
Chile,Latinoamérica,-33.5152332,-70.6283376,1986
Chile,Calama,-22.4623917,-68.9272181,1944
Chile,Ovalle,-30.6030819,-71.2029894,1935
Chile,Rusia,-34.975538,-71.2241752,1892
Chile,Chillán,-36.6066616,-72.1033194,1885
Chile,La Ley,-33.6215966,-70.6255511,1875
Chile,Bolivia,-33.0250144,-71.47998,1764
Chile,Ecuador,-33.4559226,-70.6997325,1751
Chile,Los Lagos,-42.300844,-73.105387,1724
Chile,Alemania,-33.0532209,-71.6266704,1696
Chile,Canadá,-38.0527209,-72.2014833,1687
Chile,Tarapacá,-20.1636672,-69.5463448,1650
Chile,Madrid,-33.4555317,-70.6360528,1603
Chile,Inglaterra,-33.1164658,-71.5566159,1560
Chile,Gobierno Regional,-36.8303799,-73.0593678,1537
Chile,Arica,-18.4785288,-70.3211394,1516
Chile,Región De Valparaíso,-32.5976089,-70.8529753,1515
Chile,Copiapó,-27.3664685,-70.3322753,1511
Chile,Uruguay,-34.8805364,-56.2511626,1449
Chile,Paraguay,-37.2017657,-72.2456217,1447
Chile,Curicó,-34.985368,-71.2393705,1411
Chile,Puerto Montt,-41.471798,-72.9395915,1394
Chile,Magallanes,-53.3527518,-71.5547782,1371
Chile,Indap,-33.4411348,-70.6573746,1359
Chile,Washington,-32.9987415,-71.5058973,1303
Chile,Italia,-33.0318861,-71.4858033,1234
Chile,Los Ángeles,-37.4707455,-72.351686,1230
Chile,Parinacota,-18.2019873,-69.2681691,1220
Chile,Talca,-35.4265343,-71.6660322,1217
Chile,Gaza,-34.0704941,-70.7343337,1134
Chile,Angol,-37.798787,-72.7086097,1103
Chile,Aysén,-46.1434629,-74.2135758,1085
Chile,Región Del Biobío,-37.3391407,-72.4106825,1067
Chile,Nueva York,-33.4423865,-70.6509267,1065
Chile,Portugal,-33.1181595,-71.5509803,1045
Chile,La Tierra,-29.8799155,-71.2517861,1002
Chile,Seremi De Salud,-38.7389957,-72.5879833,1002
Chile,Barcelona,-33.0502121,-71.5793631,995
Chile,Japón,-33.0514578,-71.6412399,985
Chile,Sudamérica,-33.4762577,-70.5118399,974
Chile,Buenos Aires,-35.5944366,-71.3797296,926
Chile,Suiza,-36.9910619,-71.7333627,910
Chile,Región Del Maule,-35.5972284,-71.48868,895
Chile,Linares,-35.8452905,-71.5977173,894
Chile,Reino Unido,-33.6754201,-71.1800648,892
Chile,Las Condes,-33.4084548,-70.5671489,874
Chile,Cuba,20.2566632,-75.8819298,874
Chile,Estadio Nacional,-33.4623809,-70.6062176,869
Chile,Talcahuano,-36.7144863,-73.1141087,860
Chile,Australia,-29.970027,-71.3176299,857
Chile,Congreso Nacional,-41.3146729,-72.994825,835
Chile,Quilpué,-33.0498135,-71.4415282,833
Chile,Conaf,-32.4609837,-71.2287407,827
Chile,Concejo Municipal,-33.045491,-71.374066,812
Chile,Eeuu,-33.3749401,-70.633128,812
Chile,Maipú,-33.5094409,-70.756182,794
Chile,Región De Antofagasta,-23.6041314,-69.0842783,781
Chile,Covid-19,-33.5194857,-70.6011046,781
Chile,Región De Ñuble,-36.6331577,-71.9384821,775
Chile,Quillota,-32.879997,-71.2473555,767
Chile,Región De O’Higgins,-33.4420638,-70.6456647,760
Chile,Canal 13,-33.4274573,-70.6269196,750
Chile,París,-35.4316948,-71.6304631,750
Chile,Ee.Uu.,37.7685066,-122.4710436,742
Chile,Providencia,-33.4288379,-70.6113373,726
Chile,Región De Atacama,-27.5571783,-70.0156882,725
Chile,Osorno,-40.5736955,-73.1358091,721
Chile,Región De Los Ríos,-39.9742747,-72.6677006,720
Chile,San Felipe,-32.750687,-70.7252688,718
Chile,Recoleta,-33.4020744,-70.6428912,705
Chile,Los Andes,-32.8336867,-70.5981609,701
Chile,Teherán,-32.8804153,-71.2364397,699
Chile,Región,-30.7546652,-70.9005536,698
Chile,Pucón,-39.2731173,-71.9777605,697
Chile,Estadio Monumental,-33.5064372,-70.6059468,690
Chile,Huachipato,-33.4872107,-70.5950721,687
Chile,Líbano,-33.0306706,-71.4826713,679
Chile,Villarrica,-39.2780911,-72.2274364,673
Chile,Londres,-33.445111,-70.64816,668
Chile,Miami,-29.9791676,-71.3304432,657
Chile,Bomberos,-33.6939356,-70.335373,654
Chile,Región De La Araucanía,-38.6678955,-72.2610066,653
Chile,Acá,-23.0278571,-67.7547777,631
Chile,Interior,-36.6023958,-72.0662713,624
Chile,Bío Bío,-37.3391407,-72.4106825,622
Chile,Mop,-20.2134414,-70.1538192,611
Chile,Bélgica,-33.1155462,-71.5523883,604
Chile,Alto Hospicio,-20.2700478,-70.1009162,601
Chile,Monte Patria,-30.6944769,-70.9579593,601
Chile,San Fernando,-34.583791,-70.989122,600
Chile,La Florida,-33.5204181,-70.6006178,596
Chile,San Pedro De Atacama,-23.3545489,-67.9026571,591
Chile,Sernac,-33.4433109,-70.6546155,588
Chile,Países Bajos,-33.6755285,-71.1804321,572
Chile,Región De Los Lagos,-42.300844,-73.105387,569
Chile,Lima,-42.6994201,-73.5729955,566
Chile,La Luna,-41.4132131,-72.1126846,556
Chile,Ind,-33.465598,-70.6118539,556
Chile,Municipalidad,-33.9535899,-71.8304105,553
Chile,Metropolitana,-33.5739341,-70.6205518,553
Chile,Sudáfrica,-33.4776819,-70.7374963,553
Chile,La Calera,-32.788981,-71.203546,548
Chile,Malleco,-37.7960595,-72.6516866,546
Chile,Puente Alto,-33.6095279,-70.5754736,537
Chile,Sevilla,-33.1240498,-71.5748449,534
Chile,Patagonia,-33.0162058,-71.5219219,532
Chile,San Antonio,-33.5808615,-71.6132377,530
Chile,Senapred,-33.4688187,-70.6642353,529
Chile,Corea Del Sur,37.5609333,126.9826234,522
Chile,Santa Cruz,-34.6403243,-71.3661297,520
Chile,Florida,-36.8253041,-72.6614469,520
Chile,El Salvador,-26.2462114,-69.6259658,518
Chile,Marruecos,-33.0317426,-71.4818752,517
Chile,Tocopilla,-22.0887189,-70.1960657,517
Chile,Asia,-29.9707136,-71.3188444,516
Chile,Suecia,-33.0328604,-71.4834846,516
Chile,Noruega,-33.0562931,-71.5857464,509
Chile,Antártica Chilena,-36.607697,-72.1341694,507
Chile,Poder Judicial,-45.573282,-72.071762,506
Chile,Qatar,-39.8511834,-73.216607,506
Chile,Egipto,-33.0302417,-71.4825051,504
Chile,Cesfam,-33.0044628,-71.5408115,494
Chile,África,-29.9711811,-71.3193685,489
Chile,Cabo Verde,-32.4687791,-71.3604726,488
Chile,Casa Blanca,-35.8334681,-71.6871026,483
Chile,Cauquenes,-35.9671286,-72.315427,482
Chile,Meta,-33.4527978,-70.6416589,479
Chile,Ñuñoa,-33.4543164,-70.5936358,479
Chile,Chiloé,-42.5978086,-73.959118,477
Chile,Limache,-33.0018741,-71.2657315,475
Chile,Roma,-34.5785199,-70.9093281,470
Chile,Gore,-32.8843383,-71.236775,465
Chile,Puerto Varas,-41.317802,-72.9829073,463
Chile,Estado De Chile,-33.4421906,-70.6492888,460
Chile,Medio Ambiente,-33.4432206,-70.6572593,459
Chile,Victoria,-38.2339494,-72.3316568,452
Chile,Turquía,-37.2307238,-72.6521373,451
Chile,Plaza De Armas,-33.4374154,-70.6512777,440
Chile,Vallenar,-28.5750438,-70.7616398,439
Chile,Seremi De Educación,-41.4658706,-72.9334234,431
Chile,Los Vilos,-31.9121725,-71.5138659,430
Chile,Moscú,-33.4869165,-70.7336537,426
Chile,Panamá,-33.4580608,-70.6255464,425
Chile,Mercado Financiero,-33.4441024,-70.6565951,420
Chile,Vivienda Y Urbanismo,-45.5724328,-72.0775635,417
Chile,Salud,-33.4364906,-70.6470553,417
Chile,San Bernardo,-33.5922859,-70.7045838,417
Chile,Arabia Saudita,-39.850644,-73.2141728,410
Chile,Minsal,-23.5852776,-68.3827744,409
Chile,Municipio,-33.0296651,-71.639505,407
Chile,Illapel,-31.6326932,-71.1683039,402
Chile,Villa Alemana,-33.0441903,-71.3725464,401
Chile,California,-34.2190758,-70.9272822,399
Chile,Región De Magallanes,-49.2101477,-73.2194413,398
Chile,Puerto Natales,-51.7262003,-72.5059982,390
Chile,Palestina,-23.8783333,-69.7350087,390
Chile,Coyhaique,-45.5711804,-72.0684863,386
Chile,Haití,-33.0387488,-71.6448531,385
Chile,Antártica,-23.6401968,-70.3841312,384
Chile,San Carlos,-36.3792284,-72.0179525,375
Chile,Collipulli,-37.9566312,-72.4374375,372
Chile,De Colombia,-33.4542098,-70.6741345,371
Chile,Caracas,-33.0499024,-71.647034,361
Chile,Norteamérica,-29.8795661,-71.2428285,361
Chile,Vitacura,-33.3871062,-70.5764516,360
Chile,El Mercurio,-33.0635988,-71.5892558,357
Chile,Colchagua,-34.548228,-71.4013194,351
Chile,Cañete,-37.8004074,-73.3990802,351
Chile,Arauco,-37.246248,-73.3176399,348
Chile,Caldera,-27.0675545,-70.8222047,347
Chile,Seremi De Agricultura,-18.4852773,-70.3049667,345
Chile,Monumental,-34.7154448,-71.2526904,345
Chile,Tierra Amarilla,-27.4680505,-70.2649307,345
Chile,Obras Públicas,-33.4429641,-70.652976,344
Chile,Taiwán,-20.2588353,-70.1289796,342
Chile,Limarí,-30.6382918,-71.283904,342
Chile,Estado.,-33.4394952,-70.6495351,341
Chile,Concón,-32.9220036,-71.5159565,337
Chile,Sala,-26.4725634,-105.3615838,337
Chile,Región De Tarapacá,-20.1636672,-69.5463448,335
Chile,Coronel,-37.0164712,-73.1561953,330
Chile,Hermosilla,-33.5237765,-70.6787824,327
Chile,Vicuña,-30.0340482,-70.7126702,326
Chile,Ciudad De México,-33.5093294,-70.7367131,323
Chile,Subdere,-33.4428491,-70.6550218,323
Chile,Macul,-33.4821635,-70.5991929,322
Chile,Austria,-33.0316644,-71.4827513,320
Chile,Aconcagua,-33.0438372,-71.5662246,320
Chile,India,-33.0261739,-71.4785417,314
Chile,Panguipulli,-39.6419909,-72.3333801,314
Chile,Mejillones,-23.1002342,-70.4483076,313
Chile,Aries,-33.0404992,-71.4801451,311
Chile,Minvu,-23.6398879,-70.3957722,310
Chile,Lago Ranco,-40.3216708,-72.4813502,309
Chile,Valencia,-33.0401664,-71.4688252,308
Chile,Chillán Viejo,-36.6230032,-72.1317093,308
Chile,Nueva Zelanda,-33.0256438,-71.4800627,303
Chile,Kiev,-33.4163825,-70.7294917,302
Chile,Palacio De La Moneda,-33.442821,-70.6542125,297
Chile,Costa Rica,9.8837264,-84.3165885,295
Chile,Santiago De Chile,-33.4376995,-70.6510671,293
Chile,Gran Concepción,14.6607538,121.1058436,292
Chile,Pacífico,-33.0328538,-71.6411978,288
Chile,Educación,-33.4156802,-70.7613704,288
Chile,Quinta Vergara,-33.0327984,-71.5530965,284
Chile,Estación Central,-33.4536375,-70.6898654,281
Chile,Hollywood,-33.0171396,-71.5588143,279
Chile,Rengo,-34.4088744,-70.8616583,276
Chile,Seremi De Gobierno,-34.1706132,-70.7402676,274
Chile,Bruselas,-33.0579012,-71.6412671,274
Chile,Padre Las Casas,-38.7674245,-72.5956312,271
Chile,Río Bueno,-40.3336678,-72.9567617,267
Chile,Pichilemu,-34.3851693,-72.0046606,267
Chile,Viña,-33.0244535,-71.5517636,266
Chile,Graneros,-34.0644743,-70.7262983,265
Chile,Taltal,-25.4078293,-70.4858424,262
Chile,De Santiago,-33.4376995,-70.6510671,261
Chile,Dideco,-38.7319196,-72.5877171,257
Chile,Serviu,-36.8310627,-73.0584619,251
Chile,El Niño,19.361439,-69.8490186,251
Chile,Bogotá,-33.0487975,-71.5730396,248
Chile,Quintero,-32.7840217,-71.5283361,248
Chile,Metro,-33.0472963,-71.4444892,247
Chile,Río De Janeiro,-33.0281758,-71.5660182,244
Chile,Huasco,-28.4651248,-71.2207947,243
Chile,Rapa Nui,-27.1259317,-109.3495887,243
Chile,Porvenir,-53.2956738,-70.3687401,242
Chile,Quiénes,-52.645628,-71.4687874,239
Chile,Vialidad,-45.372998,-71.9773471,239
Chile,La Paz,-39.4096736,-72.7107181,239
Chile,Ruta 5 Sur,-33.4735478,-70.6549827,238
Chile,Teatro Municipal,-33.4895987,-70.7729047,237
Chile,Paillaco,-40.0706633,-72.8726695,232
Chile,Superintendencia De Electricidad Y Combustibles,-33.4441584,-70.6569787,232
Chile,Macrozona Sur,-38.1442981,-72.3118013,231
Chile,Daem,-37.5044949,-72.6737459,231
Chile,Croacia,-53.1583906,-70.8999451,231
Chile,Machalí,-34.182453,-70.6511584,229
Chile,Liverpool,-34.1505766,-70.729536,228
Chile,Lo Barnechea,-33.3616012,-70.5051957,227
Chile,Región De Aysén,-46.4711556,-73.5206714,227
Chile,Claro Arena,-33.3958663,-70.501416,227
Chile,Gobierno De Chile,-33.4424228,-70.6542697,227
