country,city,lat,lon,mentions
Espana,España,40.4237276,-3.6899043,127907
Espana,Madrid,40.416782,-3.703507,59165
Espana,Europa,40.2862646,-3.8050105,32464
Espana,Barcelona,41.3825802,2.177073,24352
Espana,Sevilla,-2.2727822,-78.8255217,19149
Espana,Estados Unidos,38.9032186,-77.051117,16423
Espana,Andalucía,36.7615185,-4.4748558,14869
Espana,Málaga,36.7615185,-4.4748558,14416
Espana,Ayuntamiento,42.9074332,-2.0645923,14313
Espana,Cataluña,41.8523094,1.5745043,13728
Espana,Valencia,39.4657654,-0.3817825,11551
Espana,Francia,50.067731,1.384855,11486
Espana,Castilla-La Mancha,40.4488011,-2.3155568,10266
Espana,Israel,41.2229618,1.7202789,9608
Espana,Ucrania,50.4697133,30.5209771,9527
Espana,Alicante,38.7085187,-0.4655401,9156
Espana,Galicia,42.4320482,-8.6474044,8410
Espana,Rusia,40.317184,-5.4143064,7668
Espana,Alemania,52.5103662,13.3454406,7648
Espana,Comunidad De Madrid,40.4237276,-3.6899043,7493
Espana,China,41.0886507,1.1604451,7101
Espana,México,20.6216073,-103.3892544,6929
Espana,Italia,41.9056392,12.482358,6839
Espana,Toledo,39.8558913,-4.024265,6761
Espana,Irán,42.4593278,0.7803197,6497
Espana,Asturias,43.3133868,-5.94192,6484
Espana,Canarias,28.4238728,-16.4853156,5971
Espana,Murcia,37.9347521,-1.1131029,5734
Espana,Córdoba,-30.4127808,-64.3597427,5728
Espana,Cuenca,40.4488011,-2.3155568,5719
Espana,Portugal,28.5594256,-16.218878,5579
Espana,Argentina,-27.4439414,-59.0178715,5514
Espana,París,48.8186614,2.341238,5453
Espana,Comunitat Valenciana,38.7085187,-0.4655401,5430
Espana,Reino Unido,39.881805,-4.0335299,5334
Espana,Generalitat,41.3828401,2.1767417,5322
Espana,Zaragoza,41.6915847,-0.9101268,5192
Espana,Bruselas,40.4384072,-3.6633841,5075
Espana,Cádiz,36.6879228,-6.1276466,4740
Espana,Aragón,41.3787291,-0.7639373,4723
Espana,Nueva York,40.3703509,-3.6121418,4658
Espana,Eeuu,40.4350964,-3.6867672,4528
Espana,Marruecos,42.4369057,-1.783639,4518
Espana,Londres,38.3701524,-0.412009,4456
Espana,Región De Murcia,37.9166355,-1.4779797,4418
Espana,Castilla Y León,41.55005,-5.1387401,4375
Espana,Venezuela,38.9911042,-1.8547489,4374
Espana,Extremadura,39.0405949,-5.2338101,4065
Espana,Gaza,41.6178376,0.6202122,4061
Espana,Paterna,39.5259423,-0.4733018,4016
Espana,La Tierra,41.9533522,-3.4780483,3968
Espana,Almería,36.8685739,-2.3120282,3965
Espana,Granada,11.8432955,-86.0657251,3928
Espana,Comunidad Valenciana,38.7085187,-0.4655401,3925
Espana,Centro,40.4211638,-3.7117889,3850
Espana,Brasil,-15.8334847,-47.8992864,3838
Espana,Baleares,38.985918,1.5357983,3817
Espana,León,21.1334511,-101.7002541,3752
Espana,Navarra,42.3770862,-1.9436505,3741
Espana,Mediterráneo,36.5070493,-4.7304936,3736
Espana,Gobierno De España,40.4239772,-3.7127387,3674
Espana,Japón,34.3605431,136.8450926,3662
Espana,Moncloa,40.4350196,-3.719236,3580
Espana,Canadá,49.2793782,-123.1084456,3551
Espana,Castellón,40.2518568,-0.0615052,3438
Espana,Cantabria,43.1595664,-4.0878382,3436
Espana,Tribunal Supremo,40.4242463,-3.6935079,3419
Espana,Guadalajara,20.6216073,-103.3892544,3349
Espana,València,39.4697065,-0.3763353,3268
Espana,País Vasco,42.9911816,-2.5543023,3266
Espana,Mallorca,39.613432,2.8829185,3249
Espana,Euskadi,42.9911816,-2.5543023,3134
Espana,Bilbao,43.2630018,-2.9350039,3119
Espana,Cartagena,10.4049707,-75.5116894,3058
Espana,Audiencia Nacional,40.4259762,-3.6930532,3029
Espana,Roma,41.9056392,12.482358,2983
Espana,Inglaterra,51.475365,-0.0281887,2975
Espana,Girona,42.2684085,2.9604437,2940
Espana,La Rioja,-29.4232427,-66.8529668,2911
Espana,Albacete,38.9950921,-1.8559154,2905
Espana,Elche,38.2653307,-0.6988391,2899
Espana,Huelva,37.2575874,-6.9484945,2864
Espana,Mercadona,36.4758136,-6.2006041,2842
Espana,Oviedo,43.3533452,-5.8795096,2836
Espana,Ferraz,28.1126498,-15.4258414,2815
Espana,Santander,-24.7885444,-65.4115935,2776
Espana,Marbella,36.5074781,-4.8047219,2759
