country,city,lat,lon,mentions
España,Madrid,40.416782,-3.703507,50085
España,Europa,40.2862646,-3.8050105,23870
España,Barcelona,41.3825802,2.177073,19604
España,Sevilla,37.3886303,-5.9953403,13365
España,Estados Unidos,38.9032186,-77.051117,12057
España,Cataluña,41.8523094,1.5745043,11781
España,Málaga,36.7647913,-4.4422005,10780
España,Andalucía,37.3399964,-4.5811614,9750
España,Ucrania,50.4697133,30.5209771,9095
España,Castilla-La Mancha,39.4177902,-2.6232332,8898
España,Israel,41.2229618,1.7202789,8572
España,Ayuntamiento,42.9074332,-2.0645923,8546
España,Valencia,39.4697065,-0.3763353,8404
España,Francia,42.8671112,-5.1668112,8229
España,Toledo,39.8558913,-4.024265,7536
España,Rusia,36.9868471,-4.3693373,7000
España,Alicante,38.3436365,-0.4881708,6969
España,Galicia,42.61946,-7.863112,6857
España,Comunidad De Madrid,40.5248319,-3.7715628,6048
España,Alemania,38.6425884,0.0530354,5885
España,China,41.0886507,1.1604451,5534
España,Italia,39.7043511,-6.151295,5422
España,París,41.1864952,1.5545387,4785
España,Córdoba,37.8845813,-4.7760138,4482
España,Bruselas,40.4384072,-3.6633841,4401
España,Reino Unido,39.881805,-4.0335299,4291
España,México,20.6216073,-103.3892544,4180
España,Cuenca,40.0661031,-2.1313528,4106
España,Asturias,43.3133868,-5.94192,4093
España,Gaza,41.6178376,0.6202122,4087
España,Zaragoza,41.6915847,-0.9101268,4066
España,Canarias,28.2935785,-16.6214471,4018
España,Murcia,37.9347521,-1.1131029,3943
España,Generalitat,41.3487487,2.0319928,3810
España,Portugal,28.5594256,-16.218878,3796
España,Cádiz,36.5297438,-6.2928976,3773
España,Londres,38.3701524,-0.412009,3631
España,Aragón,41.3787291,-0.7639373,3613
España,Nueva York,40.3703509,-3.6121418,3581
España,En Estados Unidos,40.4345885,-3.6871821,3472
España,Marruecos,42.4369057,-1.783639,3359
España,Eeuu,40.4350964,-3.6867672,3264
España,La Tierra,41.9533522,-3.4780483,3176
España,Argentina,-27.4439414,-59.0178715,3172
España,Comunidad Valenciana,39.6819591,-0.7654406,3129
España,Irán,42.4593278,0.7803197,3076
España,Granada,37.1734995,-3.5995337,3052
España,Japón,37.0978183,-6.138883,3047
España,Castilla Y León,41.55005,-5.1387401,3043
España,Extremadura,39.1748426,-6.1529891,2998
España,Moncloa,40.4350196,-3.719236,2963
España,Almería,36.8685739,-2.3120282,2957
España,Navarra,42.7027944,-1.7086231,2954
España,Baleares,39.613432,2.8829185,2780
España,Gobierno De España,40.4239772,-3.7127387,2755
España,Girona,41.9793006,2.8199439,2732
España,Centro,40.4176527,-3.7079547,2709
España,Tribunal Supremo,40.4242463,-3.6935079,2695
España,Comunitat Valenciana,39.6819591,-0.7654406,2678
España,Mercadona,36.4758136,-6.2006041,2645
España,Cantabria,43.1595664,-4.0878382,2644
España,Brasil,42.0549452,-7.800293,2638
España,País Vasco,42.9911816,-2.5543023,2621
España,Venezuela,38.9911042,-1.8547489,2615
España,Euskadi,42.9911816,-2.5543023,2606
España,Mediterráneo,36.5070493,-4.7304936,2524
España,Región De Murcia,37.9166355,-1.4779797,2521
España,León,42.6341451,-5.9714151,2515
España,Mallorca,39.613432,2.8829185,2506
España,Guadalajara,40.7399963,-2.50593,2466
España,Hollywood,41.6283439,-0.886187,2397
España,La Luna,39.1329593,-1.8342494,2347
España,Audiencia Nacional,40.4259762,-3.6930532,2320
España,Bilbao,43.2630018,-2.9350039,2313
España,Roma,39.5066866,-1.1578911,2311
España,Albacete,38.9950921,-1.8559154,2283
España,Ferraz,28.1126498,-15.4258414,2233
España,Santander,43.4618932,-3.8100255,2184
España,Valladolid,41.6200024,-4.7259906,2093
España,África,40.5005039,-3.6635623,2085
España,Huelva,37.2575874,-6.9484945,2077
España,Talavera,41.5817985,1.33826,2018
España,Elche,38.2653307,-0.6988391,2008
España,Países Bajos,36.4951268,-4.9944055,1995
España,Australia,37.2966054,-2.2931252,1976
España,Suecia,40.4308312,-3.6937225,1955
España,Pamplona,42.815686,-1.6522353,1943
España,Moscú,42.3318717,-3.6998615,1935
España,Alcaraz,38.6647483,-2.4910801,1898
España,Inglaterra,37.3147885,-3.8827442,1893
España,Escorpio,39.8522612,4.1722941,1885
España,Suiza,43.2631461,-2.9329861,1881
España,Canadá,38.6752399,-0.8099623,1865
España,América,-35.492473,-62.9691405,1848
España,Jaén,37.7728858,-3.7883289,1825
España,Marbella,36.5074781,-4.8047219,1811
España,Chile,-53.1480496,-70.9038227,1802
España,Oviedo,43.3533452,-5.8795096,1794
España,Tailandia,37.4053752,-5.9170251,1766
España,Castellón,40.2518568,-0.0615052,1755
España,Franja De Gaza,31.5239467,34.4364948,1754
España,Sánchez,37.3840876,-5.9706309,1748
España,Burgos,42.3448498,-3.6812477,1732
España,La Rioja,42.2814642,-2.482805,1708
España,Ciudad Real,38.9597347,-3.8828744,1689
España,La Ley,39.6525955,-0.8943676,1689
España,Tenerife,28.2935785,-16.6214471,1671
España,Los Reyes,28.3712321,-16.7642379,1621
España,Cartagena,37.6155018,-0.987511,1609
España,Washington,40.386866,-3.7372448,1567
España,Berlín,41.1861017,1.5546825,1555
España,Covid-19,40.4540811,-3.7056795,1545
España,Catalunya,41.8523094,1.5745043,1531
España,Colombia,40.4571156,-3.6769611,1529
España,Bélgica,40.4305885,-3.8075282,1513
España,Grecia,38.6426907,0.0578342,1482
España,Kiev,42.8050646,-1.6843701,1469
España,Los Ángeles,40.3562217,-3.6996388,1465
España,Aemet,40.4523141,-3.7244826,1453
España,Tarragona,41.1172364,1.2546057,1442
España,California,41.3604588,2.1578489,1442
