country,city,lat,lon,mentions
México,Puebla,18.833333,-98.0,12703
México,Ciudad De México,19.3207722,-99.1514678,10422
México,Estados Unidos,39.1697626,-91.8829484,9929
México,Veracruz,19.333333,-96.666667,9454
México,Estado De México,19.4839446,-99.6899716,6179
México,Guanajuato,20.9876996,-101.0,5102
México,León,21.121965,-101.6829766,4375
México,Guerrero,17.666667,-100.0,3896
México,Chihuahua,28.5000001,-106.0000001,3665
México,Cdmx,19.3207722,-99.1514678,3505
México,Oaxaca,17.0,-96.5,3358
México,Acapulco,16.8680495,-99.8940182,3321
México,Pachuca,20.1165413,-98.7413535,2883
México,Jalisco,20.3333331,-103.6666671,2842
México,España,20.6216073,-103.3892544,2647
México,Xalapa,19.5408338,-96.9146374,2559
México,Sinaloa,25.0000001,-107.5000001,2553
México,En Estados Unidos,20.6854901,-103.3973056,2485
México,Israel,17.9782452,-102.2327207,2413
México,Chiapas,16.5000001,-92.5000001,2367
México,América,19.4037943,-99.2027751,2150
México,Nuevo León,26.2384363,-99.8873,2089
México,Hidalgo,20.5,-99.0,2031
México,Canadá,15.4480501,-92.2266613,1968
México,China,25.4915799,-98.9811115,1956
México,Tamaulipas,23.9891553,-98.7026825,1863
México,Quintana Roo,19.6666671,-88.5000001,1839
México,Centro,18.0271588,-92.7747912,1793
México,Celaya,20.5222851,-100.8307739,1766
México,Argentina,27.0854542,-109.1412408,1754
México,Europa,25.4630266,-100.8724895,1751
México,Nueva York,43.459514,-76.228818,1719
México,Poder Judicial,20.6782052,-103.3442835,1625
México,Guanajuato.-,20.9876996,-101.0,1601
México,Toluca,19.292545,-99.6569007,1595
México,Ucrania,51.0440742,31.8890848,1564
México,Michoacán,19.207098,-101.878113,1536
México,Estado De Puebla,32.5937655,-115.3723029,1535
México,Guadalajara,20.6720375,-103.338396,1521
México,Palacio Nacional,19.4325543,-99.1312673,1492
México,Monterrey,25.6802019,-100.315258,1482
México,Rusia,19.4935928,-97.0975239,1452
México,Aguascalientes,21.880487,-102.2967195,1422
México,Sonora,29.3333331,-110.6666671,1273
México,Tlaxcala,19.416667,-98.166667,1232
México,Irapuato,20.6758761,-101.3521052,1230
México,Texas,21.9441281,-100.7459541,1225
México,Brasil,27.225788,-109.9301176,1211
México,Yucatán,20.6845957,-88.8755669,1208
México,Querétaro,20.8052225,-99.8837376,1200
México,Tabasco,17.9999288,-92.6681659,1192
México,Baja California,30.0338923,-115.1425107,1143
México,Morelos,18.75,-99.0,1121
México,Coahuila,27.3333331,-102.0000001,1108
México,Pue,18.833333,-98.0,1088
México,Coatzacoalcos,18.1405019,-94.4344003,1077
México,Ciudad Juárez,31.6907979,-106.4253215,1075
México,Gaza,19.4524063,-99.2191215,1074
México,Chilpancingo,17.5542149,-99.5048416,1057
México,Estado De Hidalgo,19.3657616,-99.2437578,1022
México,Francia,22.4254314,-103.4796436,1017
México,Suprema Corte De Justicia De La Nación,19.4311118,-99.1317017,993
México,Madrid,19.08465,-103.8724664,992
México,Washington,20.6611031,-103.3574335,980
México,Conagua,19.4654158,-99.0800614,970
México,Florida,19.0210234,-104.3147564,967
México,Colombia,27.7031953,-99.7589732,964
México,Venezuela,25.7131389,-100.2828084,954
México,París,25.7142558,-100.2765682,947
México,Gobierno Federal,19.2829799,-99.0514501,920
México,Sedena,21.1612444,-100.9095043,894
México,Campeche,19.0,-90.5,893
México,California,30.0338923,-115.1425107,881
México,Cuauhtémoc,19.4326296,-99.1331785,550
México,Ee.Uu.,34.5802074,-105.996047,550
México,Golfo De México,25.6979764,-100.4554183,548
México,Guadalupe,25.6751114,-100.2151753,548
México,San Andrés Cholula,19.0220464,-98.2872661,545
México,Ciudad De México.-,19.3207722,-99.1514678,543
México,Metro,19.4144941,-99.082487,538
México,Perú,-12.0682928,-76.977969,532
México,Guatemala,21.7548828,-103.0101958,521
México,Reino Unido,23.0431631,-102.3211494,517
México,Zócalo,19.4326468,-99.1331985,507
México,Gobernación,19.9731395,-102.2879609,500
México,La Ley,21.6118215,-97.8536797,497
México,Baja California Sur,25.5818014,-111.5706164,492
México,Miami,40.817858,-86.1112033,487
México,Imss,14.9888201,-92.1660495,481
México,Poder Judicial De La Federación,19.3521323,-99.1896308,477
México,Atlixco,18.908889,-98.437778,476
México,Las Vegas,16.9567837,-92.109772,470
México,Meta,19.5085798,-101.1840557,461
México,Banxico,20.9819401,-89.6186868,456
México,Coyoacán,19.3498606,-99.1619751,443
México,Pacífico,19.5904531,-99.0351142,426
México,Naucalpan,19.4788356,-99.2327986,422
México,Orizaba,18.8592328,-97.1106537,416
México,Valle De México,25.7427777,-100.1868806,408
México,Aries,24.5593435,-99.5192966,405
México,Moscú,26.370972,-105.3712571,399
México,Tlalpan,19.2880603,-99.1669733,397
México,Mazatlán,23.2035785,-106.4208391,394
México,Australia,26.2432267,-102.292125,393
México,Corea Del Sur,20.6482838,-105.2026071,393
México,Tulancingo,20.0839585,-98.3635381,388
México,El Salvador,24.4412923,-100.8760873,387
México,Xochimilco,19.2633607,-99.1047377,380
México,Inglaterra,20.7245737,-103.4860488,372
México,Ciudad De Puebla,19.0437196,-98.1981486,372
México,Roma,25.447543,-101.0216818,371
México,Asia,16.9539743,-91.3164979,371
México,Estado Mexicano,19.255934,-99.7052877,364
México,Aicm,19.4342349,-99.0733121,360
México,San Francisco,20.5929843,-100.3912081,360
México,Norte,19.3826946,-99.1302387,359
México,Gobierno De La Ciudad De México,19.4314931,-99.1328959,355
México,Ayuntamiento De Puebla,19.4646963,-97.6877031,352
México,Ver.-,19.333333,-96.666667,348
México,Buenos Aires,18.0191817,-102.281671,348
México,Segob,19.4308902,-99.152372,347
México,Sre,19.4075054,-99.1918376,340
México,Panamá,24.715341,-107.8320766,340
México,Mérida,20.9670759,-89.6237402,336
México,Honduras,15.5892748,-92.4761699,332
México,Únete,17.0546019,-96.7152359,331
México,Poza Rica,20.5320852,-97.4536355,331
México,Liverpool,9.9814077,-83.1424561,329
México,Gobierno Municipal,28.952776,-107.8299781,327
México,Tampico,22.2701096,-97.8948674,323
México,Silao,20.9432447,-101.4291951,323
México,Líbano,25.7597279,-100.1391329,314
México,Estadio Azteca,19.3029794,-99.15047,314
México,Amozoc,19.0637658,-98.0443494,311
México,Inah,19.4077989,-99.1681847,305
México,India,19.1912276,-99.6084261,304
México,Sur,17.9810602,-94.556763,303
México,África,20.137778,-97.766667,303
México,Suprema Corte,19.4198886,-99.0880611,302
México,Estado De Veracruz,19.2782315,-99.5796175,294
México,Bolivia,15.3808476,-92.4853607,287
México,Zihuatanejo,17.6467874,-101.551974,281
México,Libia,25.646053,-100.1590577,280
México,Estado De,17.9869361,-102.227958,278
México,Arizona,20.9172778,-87.4650951,277
México,Caribe,21.342757,-87.9908377,275
México,Playa Del Carmen,20.6461095,-87.0809021,275
México,Siria,25.6457167,-100.158046,273
México,Cofepris,22.1401034,-100.9736883,272
México,San Miguel De Allende,20.9130501,-100.73566,268
México,De Colombia,17.0880611,-98.7590773,268
México,Qatar,25.830905,-97.5572145,262
México,Tauro,25.895046,-100.2135879,257
México,Ver,19.333333,-96.666667,256
México,Tlalnepantla,19.0297838,-98.9858196,255
México,Chalco,19.2382585,-98.8188838,253
México,Banco De México,19.4350386,-99.1403951,253
México,Palacio De Gobierno,20.6762137,-103.3460859,252
México,Suecia,20.6686042,-105.2063278,249
México,Kiev,20.8495367,-103.4238084,248
México,Costa Rica,9.9410912,-84.0864478,247
México,Uruguay,25.6862524,-100.4226255,243
México,Torreón,25.542698,-103.410512,242
México,La Paz,24.1619948,-110.3158532,241
México,Reserva Federal,19.3131068,-99.1772616,241
México,San Martín Texmelucan,19.2659835,-98.424878,239
México,Istmo De Tehuantepec,17.1835817,-94.5905353,237
México,Cuautlancingo,19.119366,-98.2491624,237
México,San Lázaro,19.4300375,-99.1141346,234
México,Feria De Puebla,19.4714348,-97.6817832,233
México,Ciudad,19.4326296,-99.1331785,233
México,Cabildo,25.580678,-100.2386237,230
México,Delicias,28.1227078,-105.4684895,230
México,Córdoba,18.8944704,-96.9352891,230
México,Huejotzingo,19.1642771,-98.4392754,225
México,Chicago,19.3839441,-99.2180079,222
México,Corea Del Norte,25.8291974,-97.5564263,221
México,Tuxpan,20.9298337,-97.3936617,221
México,Coatepec,19.4543134,-96.9596375,219
México,Deporte,19.3708903,-99.2948868,219
México,Pensilvania,40.5414875,-77.3551912,218
México,Azcapotzalco,19.4838908,-99.1843937,217
México,Georgia,32.0703156,-84.2410719,217
México,Foto,19.8698974,-99.6608008,213
México,Suiza,25.6700939,-100.3587512,212
