year_month,entity,label,frequency
2019-04,Sociedad,ORG,19
2019-04,Política,ORG,12
2021-02,Facebook,MISC,16
2021-02,Samsung,ORG,16
2021-02,Mastercard,PER,16
2021-03,Onemi,MISC,12
2021-11,Río Negro,LOC,13
2022-03,Ucrania,LOC,13
2022-04,Bariloche,LOC,29
2022-04,Fiesta Nacional Del Chocolate,MISC,10
2022-05,Bariloche,LOC,19
2022-06,Bariloche,LOC,12
2022-07,Bariloche,LOC,24
2022-07,Neuquén,LOC,13
2022-07,Mueba,ORG,12
2022-08,Viviana Canosa,PER,20
2022-08,Bariloche,LOC,15
2022-08,Covid-19,LOC,15
2022-08,Córdoba,LOC,12
2022-08,Sergio Massa,PER,12
2022-09,Balmoral,LOC,10
2022-10,Bariloche,LOC,29
2022-10,Grassi,PER,15
2022-10,Iglesia,ORG,12
2022-11,Bariloche,LOC,15
2022-11,Argentina,LOC,12
2022-12,Argentina,LOC,22
2022-12,Messi,PER,16
2022-12,Indec,LOC,13
2022-12,Gini,PER,12
2022-12,Brasil,LOC,11
2023-01,Argentina,LOC,13
2023-02,Chile,LOC,21
2023-02,Argentina,LOC,15
2023-02,Bariloche,LOC,12
2023-02,Uruguay,LOC,11
2023-03,Argentina,LOC,24
2023-03,Lee,PER,10
2023-04,Bariloche,LOC,22
2023-04,Neuquén,LOC,22
2023-04,La Argentina,LOC,17
2023-04,Twitter,MISC,17
2023-04,Lee,PER,15
2023-04,Argentina,LOC,15
2023-04,Previaje,PER,12
2023-04,Cámara De Diputados,ORG,10
2023-04,Ley De Tránsito,MISC,10
2023-05,Bariloche,LOC,67
2023-05,Argentina,LOC,42
2023-05,Neuquén,LOC,33
2023-05,La Argentina,LOC,26
2023-05,Buenos Aires,LOC,24
2023-05,Cristina Kirchner,PER,23
2023-05,Sin Embargo,MISC,20
2023-05,Córdoba,LOC,19
2023-05,Lee,PER,18
2023-05,Oms,ORG,17
2023-05,Brasil,LOC,16
2023-05,Mendoza,LOC,15
2023-05,Internet,MISC,15
2023-05,Aerolíneas Argentinas,ORG,15
2023-05,Foto: Archivo,MISC,14
2023-05,Alberto Fernández,PER,13
2023-05,Frente De Todos,ORG,13
2023-05,Sergio Massa,PER,13
2023-05,Plottier,LOC,13
2023-05,Iguazú,LOC,13
2023-05,Covid-19,LOC,12
2023-05,Río Negro,LOC,12
2023-05,Chile,LOC,12
2023-05,Vázquez,PER,11
2023-05,Organización Mundial De La Salud,ORG,10
2023-05,Mpn,ORG,10
2023-05,Banco Central,ORG,10
2023-05,Anses,ORG,10
2023-05,Salta,LOC,10
2023-05,Openai,MISC,10
2023-06,Sergio Massa,PER,370
2023-06,Argentina,LOC,361
2023-06,Córdoba,LOC,324
2023-06,Juntos Por El Cambio,ORG,271
2023-06,La Argentina,LOC,252
2023-06,Boca,ORG,219
2023-06,Unión Por La Patria,ORG,218
2023-06,Neuquén,LOC,218
2023-06,Massa,PER,200
2023-06,Brasil,LOC,179
2023-06,Cristina Kirchner,PER,169
2023-06,Ahora,MISC,169
2023-06,Sin Embargo,MISC,163
2023-06,Horacio Rodríguez Larreta,PER,154
2023-06,Bariloche,LOC,153
2023-06,Alberto Fernández,PER,141
2023-06,Buenos Aires,LOC,138
2023-06,Rusia,LOC,134
2023-06,Silvina Luna,PER,133
2023-06,River,ORG,130
2023-06,Mendoza,LOC,130
2023-06,Estados Unidos,LOC,126
2023-06,Patricia Bullrich,PER,123
2023-06,Provincia De Buenos Aires,LOC,122
2023-06,Twitter,MISC,118
2023-06,Luis Juez,PER,117
2023-06,Messi,PER,112
2023-06,Ucrania,LOC,110
2023-06,Fmi,ORG,103
2023-06,Lionel Messi,PER,101
2023-06,Daniel Scioli,PER,100
2023-06,Instagram,PER,100
2023-06,La Bombonera,LOC,97
2023-06,Jujuy,LOC,96
2023-06,Justicia,MISC,95
2023-06,Martín Llaryora,PER,94
2023-06,Cecilia Strzyzowski,PER,93
2023-06,Francia,LOC,92
2023-06,Legislatura,ORG,89
2023-06,Agustín Rossi,PER,89
2023-06,Pro,ORG,86
2023-06,América,LOC,85
2023-06,Clarín,MISC,81
2023-06,Lee,PER,81
2023-06,España,LOC,81
2023-06,Unidos,LOC,80
2023-06,Europa,LOC,79
2023-06,Cecilia,PER,79
2023-06,Río Negro,LOC,78
2023-06,Ciudad De Buenos Aires,LOC,77
2023-06,Wagner,PER,77
2023-06,Putin,PER,76
2023-06,Javier Milei,PER,75
2023-06,Presidente,PER,75
2023-06,Cristina,PER,75
2023-06,Juan Román Riquelme,PER,74
2023-06,Vaca Muerta,LOC,72
2023-06,El Destape,ORG,71
2023-06,Selección Argentina,ORG,68
