year_month,entity,label,frequency
2018-06,Chile,LOC,10
2018-12,Chile,LOC,10
2019-09,Chile,LOC,10
2019-10,Chile,LOC,11
2020-03,Chile,LOC,10
2020-06,Municipalidad De Antofagasta,LOC,12
2020-11,Chile,LOC,10
2020-12,Chile,LOC,26
2020-12,Meta,ORG,17
2020-12,Google,ORG,17
2020-12,Síguenos,LOC,17
2021-01,Chile,LOC,35
2021-01,Meta,ORG,34
2021-01,Google,ORG,34
2021-01,Síguenos,LOC,34
2021-01,Telegram,MISC,20
2021-01,Carabineros,ORG,11
2021-02,Google,ORG,26
2021-02,Meta,ORG,25
2021-02,Síguenos,LOC,25
2021-02,Chile,LOC,20
2021-03,Chile,LOC,48
2021-03,Google,ORG,28
2021-03,Meta,ORG,27
2021-03,Síguenos,LOC,27
2021-03,Telegram,MISC,14
2021-04,Meta,ORG,40
2021-04,Google,ORG,40
2021-04,Síguenos,LOC,40
2021-04,Chile,LOC,35
2021-04,Piñera,PER,16
2021-04,Telegram,MISC,13
2021-04,Tribunal Constitucional,ORG,11
2021-04,Pinochet,PER,10
2021-05,Chile,LOC,41
2021-05,Meta,ORG,41
2021-05,Google,ORG,41
2021-05,Síguenos,LOC,41
2021-05,Telegram,MISC,18
2021-05,Israel,LOC,16
2021-05,Piñera,PER,10
2021-06,Chile,LOC,44
2021-06,Meta,ORG,29
2021-06,Google,ORG,29
2021-06,Síguenos,LOC,29
2021-06,Estados Unidos,LOC,13
2021-06,Indh,ORG,13
2021-06,Telegram,MISC,12
2021-07,Chile,LOC,33
2021-07,Meta,ORG,29
2021-07,Google,ORG,29
2021-07,Síguenos,LOC,29
2021-07,Cuba,LOC,16
2021-07,Convención,ORG,12
2021-07,Convención Constitucional,MISC,11
2021-07,Telegram,MISC,10
2021-08,Meta,ORG,15
2021-08,Google,ORG,15
2021-08,Síguenos,LOC,15
2021-08,Afganistán,LOC,14
2021-08,Chile,LOC,13
2021-09,Chile,LOC,28
2021-09,Meta,ORG,16
2021-09,Google,ORG,16
2021-09,Síguenos,LOC,16
2021-09,Valparaíso,LOC,10
2021-10,Meta,ORG,12
2021-10,Google,ORG,12
2021-10,Síguenos,LOC,12
2021-11,Google,ORG,16
2021-11,Chile,LOC,15
2021-11,Meta,ORG,15
2021-11,Síguenos,LOC,15
2021-11,Kast,PER,12
2021-12,Meta,ORG,24
2021-12,Google,ORG,24
2021-12,Síguenos,LOC,24
2021-12,Chile,LOC,21
2021-12,Gabriel Boric,PER,15
2021-12,Telegram,MISC,12
2022-01,Chile,LOC,15
2022-01,Meta,ORG,15
2022-01,Google,ORG,15
2022-01,Síguenos,LOC,15
