year_month,entity,label,frequency
2020-12,México,LOC,10
2021-04,México,LOC,14
2021-09,Estado De México,LOC,11
2021-10,Estado De México,LOC,16
2021-12,México,LOC,13
2022-01,México,LOC,11
2022-04,México,LOC,11
2022-08,México,LOC,10
2022-09,México,LOC,18
2022-09,Michoacán,LOC,14
2022-10,México,LOC,21
2022-10,Puebla,LOC,13
2022-10,México,ORG,13
2022-11,México,LOC,14
2022-12,México,LOC,15
2022-12,Veracruz,LOC,15
2022-12,Oaxaca,LOC,11
2022-12,Tamaulipas,LOC,11
2022-12,Chiapas,LOC,10
2023-01,México,LOC,35
2023-01,Prd,ORG,21
2023-01,Ciudad De México,LOC,10
2023-01,Estado De México,LOC,10
2023-02,México,LOC,32
2023-02,Ciudad De México,LOC,17
2023-02,Estados Unidos,LOC,12
2023-02,Nueva York,LOC,10
2023-02,Guanajuato,LOC,10
2023-03,México,LOC,100
2023-03,Andrés Manuel López Obrador,PER,22
2023-03,Morena,PER,22
2023-03,Ciudad De México,LOC,20
2023-03,Estados Unidos,LOC,19
2023-03,Jalisco,LOC,19
2023-03,Tampico,LOC,19
2023-03,Ahora,MISC,15
2023-03,Ferka,LOC,15
2023-03,Tamaulipas,LOC,15
2023-03,Puebla,LOC,14
2023-03,Apertura,ORG,12
2023-03,España,LOC,12
2023-03,Sin Embargo,MISC,11
2023-03,Tiktok,MISC,11
2023-03,China,LOC,11
2023-03,López Obrador,PER,10
2023-03,Guanajuato,LOC,10
2023-03,En Estados Unidos,LOC,10
2023-03,Samy Rivers,PER,10
2023-03,León,LOC,10
2023-03,Wendy Guevara,PER,10
2023-04,México,LOC,78
2023-04,Pri,ORG,28
2023-04,Morena,PER,24
2023-04,Ciudad De México,LOC,24
2023-04,León,LOC,23
2023-04,Foto: Especial,MISC,18
2023-04,Twitter,MISC,18
2023-04,Barbie,PER,16
2023-04,Estados Unidos,LOC,15
2023-04,España,LOC,15
2023-04,Bárbara Torres,PER,15
2023-04,Puebla,LOC,15
2023-04,Wendy Guevara,PER,14
2023-04,Tiktok,MISC,14
2023-04,La Casa De Los Famosos,LOC,13
2023-04,Raquel Bigorra,PER,13
2023-04,Ahora,MISC,11
2023-04,Estado De México,LOC,11
2023-04,Andrés Manuel López Obrador,PER,11
2023-04,Guanajuato,LOC,11
2023-04,Nuevo León,LOC,11
2023-04,La Tierra,LOC,10
2023-04,Monterrey,LOC,10
2023-05,México,LOC,113
2023-05,Ciudad De México,LOC,39
2023-05,Luis Miguel,PER,39
2023-05,Estado De México,LOC,33
2023-05,Estados Unidos,LOC,28
2023-05,Twitter,MISC,27
2023-05,Threads,MISC,27
2023-05,Instagram,PER,24
2023-05,León,LOC,23
2023-05,Oaxaca,LOC,22
2023-05,Carlos Iii,PER,22
2023-05,Guanajuato,LOC,21
2023-05,Morena,PER,19
2023-05,Ahora,MISC,17
2023-05,Tiktok,MISC,17
2023-05,Nuevo León,LOC,16
2023-05,Wendy Guevara,PER,15
2023-05,China,LOC,13
2023-05,Milenio,ORG,13
2023-05,Jalisco,LOC,13
2023-05,Microsoft,ORG,12
2023-05,Pri,ORG,12
2023-05,Tamaulipas,LOC,12
2023-05,Sin Embargo,MISC,12
2023-05,Puebla,LOC,12
2023-05,Sergio Mayer,PER,12
2023-05,Sinaloa,LOC,11
2023-05,Pan,ORG,11
2023-05,Monterrey,LOC,11
2023-05,Sep,ORG,11
2023-05,Facebook,MISC,11
2023-05,Meta,LOC,11
2023-05,Camila,PER,10
2023-05,Bing,MISC,10
2023-06,México,LOC,268
2023-06,Ciudad De México,LOC,86
2023-06,Estados Unidos,LOC,80
2023-06,Morena,PER,57
2023-06,Andrés Manuel López Obrador,PER,56
2023-06,Oaxaca,LOC,51
2023-06,Estado De México,LOC,50
2023-06,Veracruz,LOC,50
2023-06,Twitter,MISC,43
2023-06,Jalisco,LOC,42
2023-06,Guanajuato,LOC,39
2023-06,Puebla,LOC,36
2023-06,Tamaulipas,LOC,35
2023-06,Ahora,MISC,33
2023-06,La Casa De Los Famosos,LOC,32
2023-06,Wendy Guevara,PER,31
2023-06,Pri,ORG,30
2023-06,España,LOC,30
2023-06,Sergio Mayer,PER,29
2023-06,López Obrador,PER,28
2023-06,Emilio Osorio,PER,27
2023-06,Pan,ORG,26
2023-06,Internet,MISC,26
2023-06,León,LOC,25
2023-06,Threads,MISC,25
2023-06,Wendy,PER,24
2023-06,Amlo,PER,23
2023-06,Milenio,ORG,23
2023-06,Sin Embargo,MISC,23
2023-06,China,LOC,23
2023-06,Chiapas,LOC,23
2023-06,Instagram,PER,23
2023-06,América,LOC,21
2023-06,Michoacán,LOC,21
2023-06,Claudia Sheinbaum,PER,20
2023-06,Tiktok,MISC,19
2023-06,Ciudad De México,MISC,19
2023-06,Brasil,LOC,18
2023-06,Universal,ORG,18
2023-06,Talina Fernández,PER,17
2023-06,Betty,PER,17
2023-06,Ine,ORG,16
2023-06,Facebook,MISC,16
2023-06,Guerrero,LOC,16
2023-06,Argentina,LOC,16
2023-06,Cdmx,LOC,16
2023-06,Proceso,ORG,16
2023-06,México,ORG,16
2023-06,Sinaloa,LOC,16
2023-06,Jwan Yosef,PER,16
2023-06,Canadá,LOC,15
2023-06,Pemex,ORG,15
2023-06,Trump,PER,15
2023-06,Palacio Nacional,LOC,14
2023-06,Oms,ORG,14
2023-06,Juan Osorio,PER,14
2023-06,Coahuila,LOC,13
2023-06,Monterrey,LOC,13
2023-06,Celaya,LOC,13
2023-06,Nuevo León,LOC,13
2023-06,La Casa De Los Famosos México,LOC,13
2023-06,Paul Stanley,PER,13
2023-06,Benito Juárez,PER,13
2023-06,Marcelo Ebrard,PER,13
2023-06,Movimiento Ciudadano,ORG,13
2023-06,Ricky Martin,PER,13
2023-06,Guadalajara,LOC,12
2023-06,Acapulco,LOC,12
2023-06,Tabasco,LOC,12
2023-06,Liga Mx,ORG,12
2023-06,Chihuahua,LOC,12
2023-06,Las Matas,LOC,12
2023-06,Guardia Nacional,ORG,12
2023-06,Donald Trump,PER,12
2023-06,Hidalgo,LOC,12
2023-06,Siria,LOC,12
2023-06,Florida,LOC,12
2023-06,Prd,ORG,11
2023-06,Presidente,PER,11
2023-06,Chatgpt,MISC,11
2023-06,Nueva York,LOC,11
2023-06,Bárbara Torres,PER,11
2023-06,Biden,PER,11
2023-06,En Estados Unidos,LOC,11
2023-06,Oceangate,MISC,11
2023-06,Francia,LOC,11
2023-06,Sat,ORG,11
2023-06,Frente Amplio,ORG,11
2023-06,La Luna,LOC,10
2023-06,República,ORG,10
2023-06,Cuauhtémoc,LOC,10
2023-06,Senado,ORG,10
2023-06,Xalapa,MISC,10
2023-06,Ferka,LOC,10
2023-06,Presidencia,ORG,10
2023-06,Casa De Los Famosos,LOC,10
2023-06,Agencias,MISC,10
2023-06,Cámara De Diputados,ORG,10
2023-06,Titanic,MISC,10
2023-06,Texas,LOC,10
2023-06,Londres,LOC,10
2023-06,Zacatecas,LOC,10
2023-06,Israel,LOC,10
2023-06,Taylor Swift,PER,10
2023-07,México,LOC,5628
2023-07,Puebla,LOC,1852
2023-07,Morena,PER,1706
2023-07,Veracruz,LOC,1665
2023-07,Andrés Manuel López Obrador,PER,1450
2023-07,Ciudad De México,LOC,1402
2023-07,Estados Unidos,LOC,1286
2023-07,Xóchitl Gálvez,PER,979
2023-07,Pri,ORG,929
2023-07,Twitter,MISC,900
2023-07,Pan,ORG,885
2023-07,Frente Amplio,ORG,849
2023-07,Guanajuato,LOC,778
2023-07,Ine,ORG,764
2023-07,López Obrador,PER,732
2023-07,Estado De México,LOC,646
2023-07,León,LOC,637
2023-07,Barbie,PER,595
2023-07,Pachuca,LOC,573
2023-07,Amlo,PER,533
2023-07,Claudia Sheinbaum,PER,523
2023-07,Guerrero,LOC,517
2023-07,Oaxaca,LOC,516
2023-07,Sin Embargo,MISC,501
2023-07,Jalisco,LOC,501
2023-07,Wendy Guevara,PER,497
2023-07,Prd,ORG,497
2023-07,Xalapa,LOC,490
2023-07,Hidalgo,LOC,436
2023-07,Cdmx,LOC,412
2023-07,Facebook,MISC,408
2023-07,Instagram,PER,404
2023-07,Pemex,ORG,403
2023-07,Chiapas,LOC,376
2023-07,En Estados Unidos,LOC,365
2023-07,Tiktok,MISC,362
2023-07,México,ORG,361
2023-07,España,LOC,358
2023-07,Ucrania,LOC,347
2023-07,Chihuahua,LOC,345
2023-07,Rusia,LOC,343
2023-07,Nuevo León,LOC,338
2023-07,Ahora,MISC,336
2023-07,República,ORG,336
2023-07,Guardia Nacional,ORG,329
2023-07,Fiscalía General Del Estado,ORG,319
2023-07,Hidalgo,PER,318
2023-07,Tamaulipas,LOC,316
2023-07,Congreso,ORG,307
2023-07,Chilpancingo,LOC,304
2023-07,China,LOC,303
2023-07,Marcelo Ebrard,PER,302
2023-07,Internet,MISC,299
2023-07,Palacio Nacional,LOC,297
2023-07,Europa,LOC,296
2023-07,Instituto Nacional Electoral,ORG,296
2023-07,Sergio Mayer,PER,291
2023-07,Presidente,PER,290
2023-07,Centro,LOC,274
2023-07,Cuarta Transformación,MISC,271
2023-07,La Casa De Los Famosos,LOC,268
2023-07,Ciudad De México,MISC,268
2023-07,Cruz Azul,ORG,266
2023-07,Michoacán,LOC,263
2023-07,Wendy,PER,260
2023-07,Fiscalía,ORG,255
2023-07,Xalapa,MISC,255
2023-07,Quintana Roo,LOC,254
2023-07,Foto,PER,254
2023-07,Protección Civil,ORG,252
2023-07,Texas,LOC,252
2023-07,Fgr,ORG,251
2023-07,Crédito,PER,249
2023-07,Canadá,LOC,247
2023-07,Lee,PER,246
2023-07,Celaya,LOC,241
2023-07,Cámara De Diputados,ORG,237
2023-07,Netflix,ORG,235
2023-07,Threads,MISC,233
2023-07,Jorge Losa,PER,233
2023-07,Sonora,LOC,233
2023-07,Estado De Hidalgo,LOC,232
2023-07,Acapulco,LOC,232
2023-07,Estado De Puebla,LOC,225
2023-07,Monterrey,LOC,221
2023-07,Florida,LOC,220
2023-07,Movimiento Ciudadano,ORG,220
2023-07,Nueva York,LOC,216
2023-07,Fiscalía General De La República,ORG,212
2023-07,Foto,MISC,209
2023-07,Bárbara Torres,PER,206
2023-07,América,LOC,205
2023-07,Unam,ORG,204
2023-07,Guadalajara,LOC,204
2023-07,Campeche,LOC,204
2023-07,Guanajuato.-,LOC,203
2023-07,Aguascalientes,LOC,202
2023-07,Meta,LOC,201
2023-07,Yucatán,LOC,199
2023-07,Sinaloa,LOC,197
2023-07,Team Infierno,MISC,196
2023-07,Sep,ORG,196
2023-07,Tabasco,LOC,195
2023-07,Santiago Creel,PER,195
2023-07,Pue,LOC,195
2023-07,Morena,ORG,193
2023-07,Poncho De Nigris,PER,193
2023-07,Tlaxcala,LOC,191
2023-07,Fge,LOC,189
2023-07,Hollywood,LOC,189
2023-07,Irapuato,LOC,188
2023-07,Liga Mx,ORG,185
2023-07,Argentina,LOC,183
2023-07,Secretaría De Seguridad Ciudadana,ORG,182
2023-07,Gálvez,PER,181
2023-07,Emilio Osorio,PER,180
2023-07,Adán Augusto López Hernández,PER,177
2023-07,Casa De Los Famosos México,LOC,175
2023-07,Adán Augusto López,PER,174
2023-07,Ssc,ORG,170
2023-07,Vicente Fox,PER,170
2023-07,Partido Acción Nacional,ORG,169
2023-07,Francia,LOC,167
2023-07,La Casa De Los Famosos México,LOC,167
2023-07,Morelos,LOC,166
2023-07,Scjn,LOC,164
2023-07,California,LOC,164
2023-07,Coahuila,LOC,163
2023-07,Japón,LOC,162
2023-07,Senado,ORG,162
2023-07,Sat,ORG,161
2023-07,Youtube,MISC,160
2023-07,París,LOC,158
2023-07,Boca Del Río,LOC,158
2023-07,Televisa,ORG,157
2023-07,Coatzacoalcos,LOC,157
2023-07,Benito Juárez,PER,157
2023-07,Durango,LOC,157
2023-07,Messi,PER,157
2023-07,Tren Maya,LOC,156
2023-07,Apio Quijano,PER,155
2023-07,Joe Biden,PER,155
2023-07,Cuitláhuac García Jiménez,PER,154
2023-07,Tepjf,ORG,153
2023-07,Colombia,LOC,153
2023-07,Suprema Corte De Justicia De La Nación,LOC,152
2023-07,Querétaro,LOC,152
2023-07,Toluca,LOC,151
2023-07,Inai,ORG,149
2023-07,Chile,LOC,149
2023-07,Copa Oro,MISC,149
2023-07,Mls,ORG,149
2023-07,Instituto Veracruzano De La Cultura,LOC,148
2023-07,Nicola Porcella,PER,147
2023-07,Conagua,LOC,146
2023-07,Ricardo Monreal,PER,145
2023-07,Ejército,MISC,145
2023-07,Shakira,PER,145
2023-07,Ciudad Juárez,LOC,144
2023-07,Baja California,LOC,144
2023-07,July,MISC,143
2023-07,Imss,ORG,140
2023-07,Sheinbaum,PER,138
2023-07,Madrid,LOC,136
2023-07,Israel,LOC,136
2023-07,Fiscalía General De Justicia,ORG,135
2023-07,Brasil,LOC,134
2023-07,Fiscalía General,ORG,134
2023-07,Oms,ORG,134
2023-07,Ejecutivo,ORG,134
2023-07,Covid-19,LOC,133
2023-07,Adán Augusto,PER,131
2023-07,Instituto Mexicano Del Seguro Social,ORG,130
2023-07,Elon Musk,PER,129
2023-07,Londres,LOC,129
2023-07,La Tierra,LOC,129
2023-07,Xóchitl,MISC,129
2023-07,Barbie,MISC,128
2023-07,Gobierno Federal,LOC,128
2023-07,Universal,ORG,128
2023-07,Oppenheimer,PER,128
2023-07,Trump,PER,127
2023-07,Selección Mexicana,ORG,127
2023-07,Cfe,ORG,126
2023-07,Conade,ORG,125
2023-07,Onu,ORG,125
2023-07,Colima,LOC,125
2023-07,Los Ángeles,LOC,124
2023-07,Sedena,LOC,124
2023-07,Sergio Salomón,PER,124
2023-07,Efe,ORG,123
2023-07,Peso Pluma,PER,123
2023-07,Foto: Especial,MISC,122
2023-07,Instituto Nacional De Estadística Y Geografía,ORG,121
2023-07,Tribunal Electoral Del Poder Judicial De La Federación,ORG,120
2023-07,Los Estados Unidos,LOC,120
2023-07,Porfirio Muñoz Ledo,PER,118
2023-07,Lionel Messi,PER,118
2023-07,Zacatecas,LOC,117
2023-07,Servicio Meteorológico Nacional,ORG,117
2023-07,Miami,LOC,117
2023-07,Partido Revolucionario Institucional,ORG,116
2023-07,Morena,LOC,116
2023-07,Imss,LOC,116
2023-07,Celsius,MISC,115
2023-07,Estado De Guanajuato,LOC,115
2023-07,Otan,ORG,115
2023-07,Inteligencia Artificial,MISC,113
2023-07,Créditos,MISC,113
2023-07,Panamá,LOC,112
2023-07,Cuautitlán Izcalli,LOC,112
2023-07,Iztapalapa,LOC,111
2023-07,Smn,ORG,111
2023-07,Ebrard,PER,111
2023-07,Secretaría De Seguridad Pública,ORG,111
2023-07,Afp,ORG,110
2023-07,Seguridad Pública,ORG,110
2023-07,Centro Histórico,LOC,110
2023-07,Gobierno De México,LOC,110
2023-07,Golfo De México,LOC,110
2023-07,Whatsapp,MISC,110
2023-07,Agregó,PER,109
2023-07,Mario Delgado,PER,109
2023-07,Secretaría De Educación Pública,LOC,109
2023-07,Puedes Leer,MISC,108
2023-07,Cancún,LOC,107
2023-07,Margot Robbie,PER,106
2023-07,Alemania,LOC,105
