author,count,porcentaje,porcentaje_acumulado
Redacción Clarín,12977,12.95,12.95
El Destape,6000,5.99,18.94
LA NACION,2247,2.24,21.18
Redacción Voxpopuli,1662,1.66,22.84
Redacción,1498,1.49,24.33
Noticias Argentinas,1451,1.45,25.78
Diario El Sureño Tema Por,1336,1.33,27.11
INFOBAE,1265,1.26,28.37
Redacción Mejor Informado,1225,1.22,29.6
Agencia Noticias Argentinas,940,0.94,30.54
El Sol,757,0.76,31.29
Diario El Cordillerano,679,0.68,31.97
F autor,586,0.58,32.55
Redacción www.facebook.com,546,0.54,33.1
Claudia Rodríguez,533,0.53,33.63
El Sol .Wp-Block-Co-Authors-Plus-Coauthors.Is-Layout-Flow Class Wp-Block-Co-Authors-Plus Display Inline .Wp-Block-Co-Authors-Plus-Avatar Where Img He,522,0.52,34.15
BarilocheOpina,467,0.47,34.62
Jose Kulicoski,460,0.46,35.08
César Barón,455,0.45,35.53
BAE Negocios,413,0.41,35.94
Daiana Larrat,390,0.39,36.33
MinutoUno,384,0.38,36.71
ANBariloche,362,0.36,37.08
Fabian Rossi,361,0.36,37.44
Ignacio Mendez,358,0.36,37.79
Escrito Por Noticias Argentinas,327,0.33,38.12
Redacci&oacute;n En Boca de Todos HD,324,0.32,38.44
Lucía Paz Gimenez,304,0.3,38.75
Brand Studio,302,0.3,39.05
LaVozDelPueblo La Voz del Pueblo,299,0.3,39.35
Hugo Alejandro Amaolo,297,0.3,39.64
Darío Ibáñez Manzano,292,0.29,39.93
Luciana Nadales,292,0.29,40.22
Franco Urrutia,286,0.29,40.51
Gustavo Pascualetti Lo Principal,279,0.28,40.79
NoticiasNet,278,0.28,41.07
Damián Aloi,273,0.27,41.34
Mariano Huguet,266,0.27,41.6
La Arena,263,0.26,41.87
El Economista,262,0.26,42.13
