author,count,porcentaje,porcentaje_acumulado
El Mercurio S.A.P.,4023,5.45,5.45
Portal Innova Grupo Prensa Digital,2671,3.62,9.07
Publicado Por,1881,2.55,11.62
Central Web,1324,1.79,13.42
Francisco Martorell,1283,1.74,15.16
Colaborador Colaborador,1266,1.72,16.87
Please Enter Your Name Here,1190,1.61,18.49
Edición El America.Cl Hernan Ordenes,1093,1.48,19.97
Redacción El Rancagüino,1007,1.36,21.33
Posted By,955,1.29,22.63
Biobio Chile,863,1.17,23.8
Diarios Comunales,844,1.14,24.94
Krishna Cárdenas,834,1.13,26.07
El Diario De Antofagasta Noticias De Verdad. Diarioantofagasta.Cl Es El Medio Digital Más Leído De La Región Minera De Chile. Noticias Entrevistas Re,712,0.97,27.04
Por Favor Ingrese Su Nombre Aquí,697,0.94,27.98
Post.Author.Display_Name Post.Publishers .Display_Name,675,0.91,28.9
admin,673,0.91,29.81
Estrategia On line Diario Estrategia,661,0.9,30.71
Prensa El Siglo Tema Por,659,0.89,31.6
Red Comunales,623,0.84,32.44
Desarrollado Por Bio Bio Comunicaciones,589,0.8,33.24
Equipo Ovallehoy,583,0.79,34.03
Patricia Schüller Gamboa Https,580,0.79,34.82
Lee Todas Las Entradas De Prensaopal Publicado Por,565,0.77,35.58
Redacción Diario El Día,530,0.72,36.3
Puranoticia,515,0.7,37.0
Redacción El Rancagüino Deportes El Rancagüino,507,0.69,37.69
Compañia Chilena De Comunicaciones,501,0.68,38.37
Cristián Meza,483,0.65,39.02
Francisco Rosales,471,0.64,39.66
Deportes El Rancagüino,439,0.6,40.25
Ovejero Noticias,415,0.56,40.82
Luis Vera Arriagada,408,0.55,41.37
Europa Press Diario Estrategia,404,0.55,41.92
Editor,398,0.54,42.46
Portal Innova | Grupo Prensa Digital Portal Innova Grupo Prensa Digital,389,0.53,42.98
Pamela Lara,381,0.52,43.5
Diario El Trabajo,374,0.51,44.01
Sofia Sanhueza,374,0.51,44.51
Mauricio Poblete Por Favor Ingrese Su Nombre Aquí,339,0.46,44.97
