author,count,porcentaje,porcentaje_acumulado
Europa Press,18702,7.27,7.27
La Tribuna De Toledo,9510,3.7,10.96
Nova Ciencia,2712,1.05,12.02
Periodista Digital,1594,0.62,12.64
Getty Images,1352,0.53,13.16
La Razón,1295,0.5,13.66
Redacción,991,0.39,14.05
A Las,875,0.34,14.39
Murcia.com,840,0.33,14.72
Redacción www.facebook.com,837,0.33,15.04
El Independiente,707,0.27,15.32
Gemma Martos,644,0.25,15.57
Paul Monzón,627,0.24,15.81
Javier Presas,573,0.22,16.03
La Marina Plaza La Marina Plaza.,538,0.21,16.24
Cinco Días,499,0.19,16.44
El País,474,0.18,16.62
Bárbara De La Macorra Morgana Villanelle,467,0.18,16.8
Juan Scaliter,456,0.18,16.98
Borja Sánchez,455,0.18,17.15
La Tribuna De Talavera,448,0.17,17.33
Dpto. De Redacción,445,0.17,17.5
OKDIARIO www.facebook.com,428,0.17,17.67
Esperanza Murcia,428,0.17,17.83
Libertad Digital,421,0.16,18.0
Juan Velarde,418,0.16,18.16
El Faro De Hellín,415,0.16,18.32
Francisco Miralles,408,0.16,18.48
Alfredo Biurrun,399,0.16,18.64
Por Favor Ingrese Su Nombre Aquí,394,0.15,18.79
Castilla-La Mancha,386,0.15,18.94
Redacción La Razón,378,0.15,19.09
Berta F. Quintanilla,376,0.15,19.23
A. Molina,373,0.14,19.38
La Razón Es Un Diario Español De Información General Y De Tirada Nacional Fundado En,371,0.14,19.52
Raoul Higuera,364,0.14,19.66
Agencias Guillermo Peris Peris,363,0.14,19.8
Isabel Gómez,362,0.14,19.94
Alicante Plaza,361,0.14,20.08
Gemma Meca,361,0.14,20.22
