author,count,porcentaje,porcentaje_acumulado
Puente Libre - Periódico Y Noticias De Ciudad Juárez.,2581,2.461588349181219,2.461588349181219
El Heraldo De Coatzacoalcos,2195,2.0934468913028965,4.5550352404841155
Redacción,1418,1.3523953038120762,5.907430544296192
La Redacción,1256,1.1978903396248008,7.105320883920992
Crónica De Xalapa,1211,1.1549722940172245,8.260293177938216
Milenio Digital,1192,1.1368513414273589,9.397144519365575
Redacción Síntesis,1106,1.054830187599546,10.451974706965121
Columna Invitada,906,0.8640833182325395,11.31605802519766
Agencia Reforma,875,0.8345175534806536,12.150575578678314
Cristian Estefes,836,0.7973219139540872,12.947897492632402
Redacción El Heraldo Digital,799,0.762033743121191,13.709931235753594
Agencia Ap,754,0.7191156975136145,14.429046933267209
Mónica Adame,740,0.7057634166579241,15.134810349925132
Feliciano Vasquez Tema Por,693,0.6609379023566776,15.79574825228181
Julieta Gutiérrez Pérez,675,0.643770684113647,16.439518936395455
Juan Ortiz,663,0.6323258719516266,17.07184480834708
Redacción Horas,641,0.611343716321256,17.683188524668335
Roberto Badillo,605,0.5770092798351947,18.26019780450353
Redacción Heraldo De México Oaxaca,600,0.5722406081010195,18.83243841260455
Editorial Staff,574,0.5474435150833087,19.379881927687858
Redacción Am,514,0.49021945427320673,19.870101381961064
Guillermo Espinosa,480,0.4577924864808156,20.32789386844188
Jorge López Landó,469,0.4473014086656303,20.77519527710751
Lérida Cabello,444,0.42345804999475445,21.198653327102264
Claudia Juárez,434,0.4139207065264041,21.61257403362867
Adrián Juárez Aguilar,430,0.410105769139064,22.022679802767733
Baru Vázquez,426,0.40629083175172387,22.42897063451946
Ana Paula Vázquez,420,0.4005684256707137,22.82953906019017
Por El Dictamen,414,0.39484601958970345,23.224385079779875
Redacción Intolerancia,394,0.37577133265300283,23.600156412432877
Valeria Mendoza,393,0.3748175983061678,23.974974010739047
Carolina Hermida,388,0.3700489265719926,24.34502293731104
Jorge Castillo,383,0.36528025483781745,24.710303192148857
Alfonso Th,376,0.35860411440997225,25.068907306558827
César Becerra,366,0.3490667709416219,25.41797407750045
Milenio Entretenimiento,364,0.34715930224795183,25.765133379748402
La Jornada,355,0.3385756931264366,26.10370907287484
Lourdes Naranjo,352,0.33571449008593146,26.43942356296077
Celeste Gutiérrez,349,0.3328532870454264,26.772276850006197
Daniela Amaro,348,0.33189955269859134,27.104176402704788
