,media_name_normalized,count,median_char_len,median_word_count,date_min,date_max,date_span_days,percentage,percentage_cum_sum
20,elle.clarin.com,26576,4182.0,697.0,2022-03-09 06:01:42.000,2026-05-19 15:41:39.000,1532,14.633716576362273,14.633716576362273
142,www.infobae.com,8748,3981.5,633.0,2022-11-11 00:00:00.000,2026-06-03 00:00:00.000,1300,4.816968415488305,19.45068499185058
111,www.eldestapeweb.com,7476,3374.5,559.5,2023-03-09 00:00:00.000,2026-05-19 15:19:23.871,1167,4.116558741905643,23.56724373375622
87,www.clarin.com,7108,4560.5,764.5,2023-05-05 08:59:40.000,2024-11-27 23:58:54.000,572,3.913924496718206,27.481168230474427
170,www.lmneuquen.com,6260,3409.5,563.0,2020-01-27 14:52:00.000,2026-05-19 03:50:53.000,2303,3.4469847143297647,30.928152944804193
110,www.elcordillerano.com.ar/region,5948,2502.0,417.0,2019-06-04 00:00:00.000,2026-05-19 00:00:00.000,2541,3.2751861151491126,34.20333905995331
117,www.eldiarioar.com,5302,4990.0,823.0,2009-07-19 23:00:00.000,2026-05-19 00:00:00.000,6147,2.9194749129994273,37.122813972952734
90,www.cronista.com,5022,3291.0,541.0,2023-01-02 06:48:59.000,2026-05-19 15:40:54.171,1233,2.7652966829655083,39.88811065591824
92,www.cronista.com/juegos,4641,3119.0,505.0,2020-11-20 00:00:00.000,2026-05-19 16:17:00.000,2006,2.555504162812211,42.44361481873045
66,servicios.lanacion.com.ar,4451,4200.0,687.0,2020-12-21 14:11:55.000,2026-05-19 16:15:08.710,1975,2.45088322100348,44.89449803973393
177,www.mejorinformado.com,4251,2576.0,424.0,2022-07-18 00:00:00.000,2026-05-19 18:03:48.903,1401,2.340755913836395,47.23525395357033
52,noticiasargentinas.com/rss.xml,3933,2479.0,395.0,2023-06-16 00:00:00.000,2026-05-19 00:00:00.000,1068,2.1656534954407296,49.40090744901106
19,elintransigente.com,3256,2251.0,380.0,2019-04-23 14:17:34.000,2026-05-19 16:06:35.000,2583,1.7928725606801463,51.1937800096912
146,www.iprofesional.com/turismo,2941,4820.0,767.0,2007-09-21 14:01:00.000,2026-05-19 16:11:00.000,6815,1.619422051891987,52.81320206158319
2,barilochedigital.com/43498-2,2933,2716.0,436.0,2020-10-18 00:00:00.000,2026-05-19 00:00:00.000,2039,1.6150169596053037,54.4282190211885
183,www.minutouno.com/cordoba-a334,2831,2390.0,396.0,2023-05-23 00:00:00.000,2026-05-19 00:00:00.000,1092,1.5588520329500903,55.98707105413859
196,www.noticiasrionegro.com.ar/buscar,2773,2676.0,442.0,2023-07-04 14:38:30.000,2026-05-19 15:37:33.373,1050,1.5269151138716357,57.51398616801023
210,www.tiempoar.com.ar,2569,4819.0,790.0,2018-12-04 00:00:00.000,2026-05-19 13:37:12.000,2723,1.4145852605612086,58.92857142857144
140,www.hoydia.com.ar/podcasts,2435,2775.0,452.0,2022-01-27 20:50:45.000,2026-05-19 14:02:51.000,1572,1.3407999647592617,60.2693713933307
75,www.anbariloche.com.ar/galerias,2375,2731.0,437.0,2017-10-29 00:00:00.000,2026-05-19 00:00:00.000,3124,1.3077617726091362,61.577133165939834
194,www.noticiasnqn.com.ar,2152,2483.5,407.0,2023-07-09 00:00:00.000,2026-05-18 00:00:00.000,1044,1.1849698251178362,62.762102991057674
107,www.elcordillerano.com.ar/Tecnologia,2123,2499.0,404.0,2020-07-05 00:00:00.000,2026-05-19 00:00:00.000,2144,1.169001365578609,63.93110435663628
129,www.elsol.com.ar,2079,3022.0,491.0,2023-04-05 11:25:20.000,2026-05-19 16:36:21.000,1140,1.1447733580018502,65.07587771463814
44,masp.lmneuquen.com,1963,3151.0,514.0,2023-05-15 21:15:00.000,2026-05-19 17:43:00.000,1099,1.0808995198449407,66.15677723448307
58,noticiasrionegro.com.ar,1946,2592.0,427.0,2023-07-16 08:30:23.000,2026-05-19 16:30:00.000,1038,1.0715386987357385,67.22831593321881
48,noticiasargentinas.com,1942,2425.0,390.0,2023-02-16 00:00:00.000,2026-05-19 00:00:00.000,1188,1.0693361525923968,68.29765208581121
40,lavozdecipolletti.com/,1785,5511.0,897.0,2020-06-26 23:37:09.000,2026-05-19 17:31:20.000,2152,0.9828862164662351,69.28053830227745
106,www.elcordillerano.com.ar,1732,2442.0,406.0,2023-02-06 00:00:00.000,2026-05-19 00:00:00.000,1198,0.9537024800669573,70.2342407823444
127,www.elorden.com/clima,1715,2769.0,455.0,2022-07-12 00:00:00.000,2026-05-19 00:00:00.000,1407,0.9443416589577551,71.17858244130215
207,www.surenio.com.ar,1712,3024.5,484.0,2018-09-19 12:50:28.000,2026-05-19 14:10:47.000,2799,0.9426897493502489,72.1212721906524
7,dellagonoticias.com,1488,2655.0,423.0,2017-01-11 00:16:07.000,2024-12-19 14:02:04.000,2899,0.8193471653231135,72.94061935597551
47,nortemisionero.com.ar,1423,3316.0,544.0,2023-05-22 21:39:30.000,2024-11-28 02:49:04.000,555,0.7835557904938109,73.72417514646932
94,www.diarioalfil.com.ar/,1342,4091.5,669.0,2022-04-17 00:00:00.000,2026-05-19 00:00:00.000,1493,0.7389542310911413,74.46312937756046
63,realidadsm.com,1312,2672.5,430.5,2022-11-10 00:00:00.000,2026-05-19 00:00:00.000,1286,0.7224351350160786,75.18556451257655
93,www.diarioalfil.com.ar,1309,4381.0,721.0,2023-06-13 21:22:00.000,2026-05-18 18:39:00.000,1069,0.7207832254085723,75.90634773798512
29,hoydia.com.ar,1302,3071.5,503.5,2023-01-27 00:17:10.000,2026-05-13 13:31:19.000,1202,0.7169287696577243,76.62327650764284
9,diarioalfil.com.ar,1284,4364.5,718.0,2023-05-12 00:00:00.000,2024-11-28 00:32:00.000,566,0.7070173120126867,77.33029381965552
214,www.voxpopuli.net.ar/,1269,2238.0,364.0,2023-06-06 10:37:36.000,2026-05-19 15:11:05.000,1078,0.6987577639751553,78.02905158363068
189,www.noticiasnet.com.ar,1246,2699.5,447.0,2023-07-17 15:12:23.000,2024-11-28 03:00:00.000,499,0.6860931236509404,78.71514470728161
155,www.lanacion.com.ar,1110,4571.5,767.5,2023-08-03 03:00:00.000,2026-05-19 16:14:00.449,1020,0.6112065547773226,79.32635126205894
181,www.minutouno.com,1089,2581.0,422.0,2023-03-14 03:52:00.000,2026-05-19 15:28:00.000,1162,0.5996431875247786,79.92599444958371
206,www.rionegro.com.ar/feed/,1053,3295.0,528.0,2014-08-30 00:00:00.000,2026-05-19 18:19:05.000,4280,0.5798202722347033,80.50581472181841
65,rionegro.com.ar,1025,3413.0,559.0,2023-07-10 19:30:00.000,2024-11-28 00:15:00.000,506,0.5644024492313114,81.07021717104972
184,www.minutouno.com/radio-vale,933,2276.0,368.0,2023-06-28 00:00:00.000,2026-05-19 00:00:00.000,1056,0.5137438879344522,81.58396105898417
211,www.tiempofueguino.com,882,2824.5,453.5,2022-07-25 10:55:11.000,2026-05-18 23:09:52.000,1393,0.4856614246068455,82.06962248359102
197,www.notitdf.com,849,2815.0,444.0,2020-01-01 17:32:00.000,2026-05-19 17:29:33.000,2329,0.46749041892427645,82.53711290251529
57,noticiasdeplottier.com.ar,788,3917.5,646.5,2023-05-02 14:02:12.000,2026-05-19 00:00:00.000,1112,0.4339015902383155,82.97101449275361
36,lapostadelnoroeste.com.ar,778,2640.0,427.0,2023-06-09 21:57:11.000,2026-05-18 18:57:02.000,1073,0.42839522487996123,83.39940971763357
49,noticiasargentinas.com/cultura,769,2450.0,416.0,2023-07-06 00:00:00.000,2024-08-24 00:00:00.000,415,0.42343949605744235,83.82284921369101
45,misionescuatro.com,728,2484.5,405.5,2023-07-25 19:10:07.000,2024-12-29 22:56:34.000,523,0.40086339808818994,84.2237126117792
