,media_name_normalized,count,median_char_len,median_word_count,date_min,date_max,date_span_days,percentage,percentage_cum_sum
212,www.biobiochile.cl,8268,2870.5,464.0,2017-05-10 00:00:00.000,2024-11-28 00:00:00.000,2759,5.905883025229293,5.905883025229293
33,diarioeldia.cl,5500,3254.0,520.0,2018-09-28 00:00:00.000,2026-05-21 00:00:00.000,2792,3.928683676676476,9.834566701905768
16,cooperativa.cl,5282,2869.0,463.0,2023-07-04 00:00:00.000,2026-05-21 00:00:00.000,1052,3.772964941855481,13.607531643761249
143,portalinnova.cl,5014,3949.0,611.0,2020-01-24 21:04:44.000,2026-05-18 13:55:30.000,2305,3.5815309008828824,17.18906254464413
299,www.emol.com,4061,3323.0,540.0,2017-12-29 00:00:00.000,2026-05-19 00:00:00.000,3063,2.900797165633304,20.089859710277434
289,www.elrancaguino.cl,3395,3214.0,532.0,2022-11-11 00:00:00.000,2026-05-19 00:00:00.000,1285,2.425069287693934,22.514928997971367
250,www.diariolaunion.cl/enlace,3197,3081.0,503.0,2023-06-04 00:00:00.000,2026-05-21 00:00:00.000,1082,2.283636675333581,24.79856567330495
162,sabes.cl,2953,2641.0,429.0,2023-04-06 00:00:00.000,2026-05-18 00:00:00.000,1138,2.109345981313752,26.9079116546187
63,elinformador.cl,2900,3609.0,577.0,2020-05-22 17:09:47.000,2026-05-20 00:00:00.000,2188,2.071487756793051,28.97939941141175
341,www.meganoticias.cl,2536,2599.0,424.0,2023-05-02 11:00:00.000,2026-05-21 10:41:00.000,1114,1.8114803280093719,30.790879739421122
69,elproa.cl,2525,3086.0,491.0,2023-06-28 13:52:14.000,2026-05-21 16:31:50.000,1058,1.8036229606560188,32.59450270007714
249,www.diariolaunion.cl,2069,3577.0,575.0,2023-06-10 00:00:00.000,2026-05-21 00:00:00.000,1076,1.4778993685533872,34.07240206863053
159,redgol.cl/rss/feed,2017,2414.0,413.0,2023-07-10 00:00:00.000,2026-05-19 13:25:05.000,1044,1.4407554501557187,35.51315751878625
147,prensaopal.cl,1998,7723.5,1240.5,2018-02-25 00:00:00.000,2026-05-18 00:00:00.000,3004,1.427183633818109,36.94034115260436
302,www.emol.com/multimedia,1975,3492.0,567.0,2018-02-02 00:00:00.000,2024-11-27 00:00:00.000,2490,1.4107545929883711,38.35109574559273
126,lasnoticiasdemalleco.cl,1727,2659.0,432.0,2022-08-12 06:30:00.000,2026-05-19 14:06:48.000,1376,1.2336066744764136,39.58470242006914
