,media_name_normalized,count,median_char_len,median_word_count,date_min,date_max,date_span_days,percentage,percentage_cum_sum
91,heraldodexalapa.com.mx,15095,2814.0,466.0,2020-10-22 00:00:00.000,2026-05-12 00:00:00.000,2028,11.342801322512774,11.342801322512774
121,lasillarota.com,6470,3052.0,504.0,2021-08-30 00:00:00.000,2026-05-11 00:00:00.000,1715,4.861737300871656,16.20453862338443
217,www.am.com.mx/jalisco,5756,2839.5,465.0,2017-08-09 00:00:00.000,2026-05-12 00:00:00.000,3198,4.32521791403667,20.5297565374211
7,abc.miled.com,5188,2760.5,454.0,2019-09-17 06:00:49.000,2026-05-12 05:19:36.000,2428,3.8984069732491737,24.428163510670274
122,lasillarota.com/dinero,4823,3223.0,529.0,2023-06-12 00:00:00.000,2026-05-11 00:00:00.000,1064,3.624135858130448,28.05229936880072
124,lasillarota.com/seleccion,3545,2800.0,468.0,2023-05-21 00:00:00.000,2026-05-11 00:00:00.000,1086,2.6638112413585815,30.7161106101593
301,www.proceso.com.mx/contacto,3377,3013.0,491.0,2023-06-20 00:00:00.000,2026-05-12 00:00:00.000,1057,2.537571385632702,33.253681995792
123,lasillarota.com/noticias,3260,2713.0,453.0,2023-05-09 00:00:00.000,2026-05-11 00:00:00.000,1098,2.4496543432521793,35.70333633904418
44,diarioportal.com/,3033,2900.0,468.0,2023-06-21 00:00:00.000,2026-05-12 00:00:00.000,1056,2.2790802524797114,37.98241659152389
300,www.proceso.com.mx,2859,3515.0,573.0,2023-06-29 00:00:00.000,2026-05-12 00:00:00.000,1048,2.148331830477908,40.130748422001794
223,www.capitalmexico.com.mx,2819,2738.0,443.0,2016-05-02 12:50:06.000,2024-12-30 01:57:44.000,3163,2.1182747219717464,42.24902314397354
181,puentelibre.mx,2674,2524.0,408.5,2023-11-06 16:57:38.000,2026-05-12 07:00:55.000,917,2.0093177036369103,44.25834084761045
322,xeu.mx,2644,2634.5,432.0,2023-07-03 13:14:25.000,2026-05-11 14:52:27.000,1043,1.9867748722572889,46.245115719867734
